Strategy,TokenAddress,AlertTime,EntryTime,ExitTime,EntryPrice,PnL,PnLPercent,MaxReached,MaxGainPercent,TokenMaxDrawdownPercent,HoldDurationHours
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,3UofsdJQyTe8PF3HMUR8KEB13wtwGkk4qyAhgLCgbonk,2025-07-21T10:49:56.000Z,2025-07-23T22:00:00.000+10:00,2025-07-23T23:00:00.000+10:00,0.00017638,0.8500,-15.00,1.0422,4.22,15.00,0.00
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,G6kPdKoUjmXkXq6Skuon1mg77q4E3YXuUGjgadXL4pQt,2025-07-22T07:55:13.000Z,2025-07-24T17:00:00.000+10:00,2025-07-24T19:00:00.000+10:00,0.00000574,0.9806,-1.94,1.0000,0.00,1.94,0.00
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,6S3nudT5wn6RNmnY1pXLLyJoEMM53HF5tg6Baqrmbonk,2025-07-22T08:00:00.000Z,2025-07-27T23:00:00.000+10:00,2025-07-28T08:00:00.000+10:00,0.00000546,1.0000,0.00,1.0000,0.00,0.00,0.00
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,CfVs3waH2Z9TM397qSkaipTDhA9wWgtt8UchZKfwkYiu,2025-07-22T20:31:48.000Z,2025-07-24T12:00:00.000+10:00,2025-07-24T15:00:00.000+10:00,0.00762585,0.9862,-1.38,1.1009,10.09,1.38,0.00
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,CQkgAQg5qCor8UMee5s8SzGkpjoYxCxrNzUuhwAnbonk,2025-07-23T09:29:31.000Z,2025-07-26T03:00:00.000+10:00,2025-07-26T05:00:00.000+10:00,0.00025970,1.0908,9.08,1.0396,3.96,0.00,0.00
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,82KE946ifcZKs5dwTtpX6Mp8bXHCHVncRmKVxmQZbonk,2025-07-23T21:56:09.000Z,2025-07-26T18:00:00.000+10:00,2025-07-26T20:00:00.000+10:00,0.00001253,1.0837,8.37,1.0000,0.00,0.00,0.00
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,GxzvWxCzNN3MTEZzTRx7RnP3yg4dmD8Ez8Ssu8wSbonk,2025-07-24T00:39:16.000Z,2025-07-25T10:00:00.000+10:00,2025-07-25T11:00:00.000+10:00,0.00144562,1.0864,8.64,1.0291,2.91,0.00,0.00
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,5MU4Fm65xmn19D5a1bmTruzvKZbeX9EQsU2EeEEFbonk,2025-07-24T23:04:08.000Z,2025-07-27T05:00:00.000+10:00,2025-07-27T07:00:00.000+10:00,0.00000781,1.0046,0.46,1.0000,0.00,0.00,0.00
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,Ey3fqTdSfQHGNqhcp5L11qSXT7QS69Lg6bqcNyPypump,2025-07-25T01:21:36.000Z,2025-07-26T03:00:00.000+10:00,2025-07-26T05:00:00.000+10:00,0.00002354,1.1084,10.84,1.0390,3.90,0.00,0.00
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,F8YiEaC9qyKPEtLQK1Yi5QZazsYgNWn8JD83Dh4Mbonk,2025-07-27T02:12:56.000Z,2025-07-31T02:00:00.000+10:00,2025-07-31T04:00:00.000+10:00,0.00000891,0.9490,-5.10,1.0000,0.00,5.10,0.00
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,2RKZuckB4kwvKEFhSCBa57DU9oWdtRcF5dgyb6N9jups,2025-07-27T13:28:15.000Z,2025-07-28T19:00:00.000+10:00,2025-07-28T21:00:00.000+10:00,0.00230569,0.8500,-15.00,1.1114,11.14,15.00,0.00
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,Ga5GipNAgM4MHNEC5nuyU5Xb44CZpsj9sAPmrLRsjups,2025-07-28T07:32:19.000Z,2025-07-31T01:00:00.000+10:00,2025-07-31T22:00:00.000+10:00,0.00000502,1.0127,1.27,1.0567,5.67,0.00,0.00
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,Hio3BG49VvoRwFqgg4avYpwewLvNrVZn78P3w5Jwbonk,2025-07-28T07:32:27.000Z,2025-07-31T04:00:00.000+10:00,2025-07-31T12:00:00.000+10:00,0.00000568,1.0000,0.00,1.0000,0.00,0.00,0.00
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,A8b6B5PxDkhD9JNrPg25fbtALMvme8B1JvoJkYfCbonk,2025-07-28T17:44:33.000Z,2025-07-29T10:00:00.000+10:00,2025-07-29T12:00:00.000+10:00,0.00028954,0.9766,-2.34,1.0302,3.02,2.34,0.00
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,0x338ede32eF54b28a9a755D07144b4a7061DD4444,2025-07-29T06:15:09.000Z,2025-08-02T11:00:00.000+10:00,2025-08-02T13:00:00.000+10:00,0.00008160,1.6819,68.19,1.8687,86.87,0.00,0.00
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,GV6yc4NBPYAMzNGo1SiiUF6DqzBYryCuynVCYh2ebonk,2025-07-29T10:37:30.000Z,2025-07-31T11:00:00.000+10:00,2025-07-31T12:00:00.000+10:00,0.00000509,1.0345,3.45,1.1502,15.02,0.00,0.00
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,BSojgEsXyvHfjZM9Uc4KuELrDqXauHZzrw8oeaZHbonk,2025-07-29T13:27:52.000Z,2025-07-31T14:00:00.000+10:00,2025-07-31T15:00:00.000+10:00,0.00000656,1.1047,10.47,1.0000,0.00,0.00,0.00
