TradeNumber,TokenAddress,AlertTime,EntryTime,ExitTime,PnL,PnLPercent,MaxReached,HoldDurationMinutes,IsWin
11,FiTi3ZJ72k7e1AAFeCe48y7ooomnxmVUiuyvTnVMbonk,2025-08-05T02:21:35.000Z,2025-08-09T00:00:00.000+10:00,2025-08-10T06:00:00.000+10:00,1.022963,2.30,1.0439,1800,Yes
12,3WygEwYdwcg36XLspUQyP3AiwN2h5nCKb6bCtq4dbonk,2025-08-05T04:28:04.000Z,2025-08-07T08:00:00.000+10:00,2025-08-08T01:00:00.000+10:00,1.000000,0.00,1.0000,1020,No
13,4rVsjraokAhDWfj8VXWH1eYrnrYysR61iJzCUwt9pump,2025-08-07T03:37:59.000Z,2025-08-08T15:00:00.000+10:00,2025-08-10T02:00:00.000+10:00,1.015975,1.60,1.0229,2100,Yes
14,AwkjpAzrYuMkS5PbQbbJsqAR7FrH1s6XNgQtuesFtmXq,2025-08-12T03:57:52.000Z,2025-08-13T23:00:00.000+10:00,2025-08-14T17:00:00.000+10:00,1.000000,0.00,1.0000,1080,No
15,2ggfnp8YuWmpgpUdrwk86d7yfKfcuQHcdSKfyfHNBAGS,2025-08-12T06:17:15.000Z,2025-08-13T03:00:00.000+10:00,2025-08-13T04:00:00.000+10:00,0.981445,-1.86,1.0171,60,No
16,8HAnvWt6yhVQt2imSLgWepMCWk2CzLDbkhhuCSCfpump,2025-08-13T00:13:46.000Z,2025-08-14T23:00:00.000+10:00,2025-08-15T18:00:00.000+10:00,1.000000,0.00,1.0000,1140,No
17,BVPVnNJ7AjYscfdJrUPV7P6XFEkVDo1YnJMin7YoBAGS,2025-08-13T16:30:25.000Z,2025-08-16T00:00:00.000+10:00,2025-08-16T01:00:00.000+10:00,1.109017,10.90,1.1544,60,Yes
18,GB5N5QEg4sEnnft58k8MTvcb6Pmmqo3hX5nTvzeGpump,2025-08-17T02:01:47.000Z,2025-08-17T22:00:00.000+10:00,2025-08-18T00:00:00.000+10:00,1.122799,12.28,1.0000,120,Yes
19,4uffxoaAt2jU54SVZuuy3jEyyQsqeCjQgiYfaxW4pump,2025-08-17T21:58:30.000Z,2025-08-19T23:00:00.000+10:00,2025-08-20T01:00:00.000+10:00,0.989771,-1.02,1.0000,120,No
20,9mg1FczD6EczidDioYqYmAtkv1EFXQBSF68bii67pump,2025-09-05T13:48:54.000Z,2025-09-08T16:00:00.000+10:00,2025-09-09T07:00:00.000+10:00,0.989026,-1.10,1.0035,900,No
21,7gmBDAwxCeYZ9AaenyQEsnPVYciSrgSJ6NaJ7jWdpump,2025-09-20T04:29:44.000Z,2025-09-21T10:00:00.000+10:00,2025-09-21T12:00:00.000+10:00,1.001912,0.19,1.0000,120,Yes
22,5v71TCn8kmbPdkATL8StfTRL7Q9kbFea6gzW8Nkbpump,2025-09-22T04:04:49.000Z,2025-09-28T09:00:00.000+10:00,2025-09-29T03:00:00.000+10:00,0.991181,-0.88,1.0000,1080,No
23,5V6ADfc9UgiiD2sG9nby5EJN12ktFo5Egsa1FS9qpump,2025-10-01T02:50:36.000Z,2025-10-04T11:00:00.000+10:00,2025-10-04T13:00:00.000+10:00,1.206896,20.69,1.0000,120,Yes
24,D65Jr6jUe5swtbBdfZvieNqsunEBGRwzGpHJPBZ1111,2025-10-04T04:54:58.000Z,2025-10-06T05:00:00.000+11:00,2025-10-06T07:00:00.000+11:00,2.292826,129.28,5.7009,120,Yes
25,AfbNdAU1SSYLQ6ry8J8pU6MmAz7xRkFabfdKgBLxpump,2025-10-04T13:33:09.000Z,2025-10-07T03:00:00.000+11:00,2025-10-08T05:00:00.000+11:00,1.000000,0.00,1.0000,1560,No
26,0xccfafb652f70e8a41a6af44117c3d4092baf4444,2025-10-07T23:17:20.000Z,2025-10-09T07:00:00.000+11:00,2025-10-09T09:00:00.000+11:00,0.942183,-5.78,1.0471,120,No
27,0xbb6ab62a383544f02612e06ed157dcef3bcb4444,2025-10-08T01:55:29.000Z,2025-10-12T06:00:00.000+11:00,2025-10-12T08:00:00.000+11:00,1.046513,4.65,1.0000,120,Yes
28,0x12dbd55a2191ce33ff2e396be067c9735daf4444,2025-10-10T01:28:04.000Z,2025-10-11T11:00:00.000+11:00,2025-10-11T13:00:00.000+11:00,0.800000,-20.00,1.0220,120,No
29,0x02c29be7cc318fb958b763d9af9b9e06fc474444,2025-10-13T01:00:17.000Z,2025-10-15T05:00:00.000+11:00,2025-10-15T08:00:00.000+11:00,0.998993,-0.10,1.0000,180,No
30,0x6ea9b1e5ac3768fd14022d6647d4700ddd304444,2025-10-13T01:55:39.000Z,2025-10-15T04:00:00.000+11:00,2025-10-15T08:00:00.000+11:00,1.000000,0.00,1.0000,240,No
31,0x5b7f7e88bcfca6b853e765072f67630b8d474444,2025-10-13T02:32:39.000Z,2025-10-21T08:00:00.000+11:00,2025-10-21T10:00:00.000+11:00,1.003055,0.31,1.0322,120,Yes
32,0x05046156165f65d5b59f0d66cd795b6ee7b24444,2025-10-13T19:02:19.000Z,2025-10-16T05:00:00.000+11:00,2025-10-16T06:00:00.000+11:00,0.800000,-20.00,1.0240,60,No
33,0x31315de1d0a90e61e396748b99862feec1544444,2025-10-13T21:57:42.000Z,2025-10-17T07:00:00.000+11:00,2025-10-17T21:00:00.000+11:00,1.000000,0.00,1.0000,840,No
34,0xd4f46c60D95e9d37507CE94db9a7703E72a24444,2025-10-13T22:29:04.000Z,2025-10-18T22:00:00.000+11:00,2025-10-19T00:00:00.000+11:00,1.000000,0.00,1.0000,120,No
35,0x705a22b8eb4f774041151792943ed2afd4674444,2025-10-14T01:44:08.000Z,2025-10-15T13:00:00.000+11:00,2025-10-15T18:00:00.000+11:00,1.000000,0.00,1.0000,300,No
36,0x4c8f418e2e28b0ba5b9d916868879985396d4444,2025-10-15T20:58:10.000Z,2025-10-16T23:00:00.000+11:00,2025-10-17T00:00:00.000+11:00,0.995925,-0.41,1.0186,60,No
37,0xb1d52B37D4C776Ae82224Fa1EB8A189512c24444,2025-10-16T03:49:29.000Z,2025-10-18T22:00:00.000+11:00,2025-10-19T06:00:00.000+11:00,1.005076,0.51,1.0164,480,Yes
38,0x7e57c4fb47dbcfc3918cf6c67b1fb4a11bde4444,2025-10-20T21:31:49.000Z,2025-10-22T04:00:00.000+11:00,2025-10-22T06:00:00.000+11:00,1.354979,35.50,1.6064,120,Yes
39,0xf0bff8ae26dd96410c16165b06be771348384444,2025-10-25T07:34:09.000Z,2025-10-26T23:00:00.000+11:00,2025-10-27T04:00:00.000+11:00,1.137632,13.76,1.3568,300,Yes
40,0xe1e93e92c0c2aff2dc4d7d4a8b250d973cad4444,2025-10-25T19:29:32.000Z,2025-10-26T23:00:00.000+11:00,2025-10-27T01:00:00.000+11:00,1.685408,68.54,1.1141,120,Yes
41,0x67181a01bc946eea796c8ff801af1b8df82d4444,2025-10-25T22:21:27.000Z,2025-10-26T20:00:00.000+11:00,2025-10-26T21:00:00.000+11:00,1.008038,0.80,1.0035,60,Yes
42,0x1bfbe8819860b8a2806cb5f78b6afbb384c34444,2025-10-26T14:33:25.000Z,2025-10-28T02:00:00.000+11:00,2025-10-28T04:00:00.000+11:00,0.941844,-5.82,1.0055,120,No
43,DJFGD45KCaRmDKhCpfNYXrCmZZJ6B2XcEFEBLssGpump,2025-10-26T20:50:13.000Z,2025-10-28T21:00:00.000+11:00,2025-10-29T07:00:00.000+11:00,0.992681,-0.73,1.0000,600,No
44,0x5375ab15eaf7758462eb6aF00Ca302b20ABc7777,2025-10-27T01:38:11.000Z,2025-10-28T04:00:00.000+11:00,2025-10-28T06:00:00.000+11:00,1.342957,34.30,1.0973,120,Yes
45,0x1be39d7da9e55564d6b628a3bda013a963124444,2025-10-27T23:16:14.000Z,2025-11-02T07:00:00.000+11:00,2025-11-02T18:00:00.000+11:00,1.000000,0.00,1.0000,660,No
46,0x1efecdecae32975095664c9825e37aacfab14444,2025-10-28T03:39:07.000Z,2025-11-01T02:00:00.000+11:00,2025-11-01T05:00:00.000+11:00,1.000000,0.00,1.0000,180,No
