priority,quality_score,mint,chain,alert_count,has_duplicates,duplicate_count,has_gaps,gap_count,has_distortions,distortion_count,callers
medium,70.0,6ZMu4PRVpNMxVHdzMDcGLQf4Qv9x73YHpsHrK6mepump,solana,3,False,0,False,0,True,11723,
medium,70.0,7pXsYxptLKSUV6t66SvCAhhyvCeHjHos4qaSYUv6pump,solana,3,False,0,False,0,True,8159,
medium,70.0,ErnUXjfWZHdQAYK7aupHaFivV2oef9hfmVARFWQxpump,solana,3,False,0,False,0,True,8934,
medium,70.0,AUUu7yuTkwq46jLmZJQC9DbuAYWKvmwmpTUq6VLMpump,solana,3,False,0,False,0,True,8211,
medium,70.0,CuFFw6irQnSV48HwdM4mKGauSwEWqTEztL14kShLpump,solana,3,False,0,False,0,True,5760,
medium,70.0,GP9P4a98t3g8dZ7wL5257GJzkcqLicAHKNTnr5SJpump,solana,3,False,0,False,0,True,9278,
medium,70.0,Gi3vuXnFJevwrjKQMzher3dsPNwNeNn5H9etwC84pump,solana,3,False,0,False,0,True,9227,
medium,70.0,G85CQEBqwsoe3qkb5oXXpdZFh7uhYXhDRsQAM4aJuBLV,solana,3,False,0,False,0,True,4372,
medium,70.0,8dHQtB8F3vEUWUXvptPWsSMQy5jo2h6WU2aDNbfipump,solana,3,False,0,False,0,True,7041,
medium,70.0,5PpWbYsDosMGEre1PThdXhHjN85S1RX7fsLMDRi3pump,solana,3,False,0,False,0,True,9327,
medium,70.0,FyB8VxxYAaVVchAgbB1kvjWdw26ovaD4ipwV1j8epump,solana,3,False,0,False,0,True,5180,
medium,70.0,HQDTzNa4nQVetoG6aCbSLX9kcH7tSv2j2sTV67Etpump,solana,3,False,0,False,0,True,4936,
medium,70.0,6GTBQj1w2AH7xTLrCGijFTHFyjBUZL1Zq2jX1AdSpump,solana,3,False,0,False,0,True,9206,
medium,70.0,2YMTGyWoGGPpaHt81QFTpfkom99hbT1yPHbAZs6ppump,solana,3,False,0,False,0,True,9786,
medium,70.0,CKW8P1A72umtcbC35shqvuDUPf5N9P6LDkGUwkB1pump,solana,3,False,0,False,0,True,9406,
medium,70.0,2oFymDJhPxzjPwLk4RBMpjosVoxaLFM8oj1K8rpepump,solana,3,False,0,False,0,True,8891,
medium,70.0,Hwui6yPX8iPWxs1bD95zaiwrEJ3md2tksweVADsmpump,solana,3,False,0,False,0,True,8848,
medium,70.0,2cxnk5oK5UG6e9b3JDftgKzzJ72nRdie5ZxHrspLpump,solana,3,False,0,False,0,True,9347,
medium,70.0,5fMpeZmt2wKYwt1ADH1h26djvNM1tVHQrYnSgjQUpump,solana,3,False,0,False,0,True,6951,
medium,70.0,G4Z2UAJMZ3L3drtKLcGRG5LzyF7MySzn8NTW94nSTART,solana,3,False,0,False,0,True,8844,
medium,70.0,dh1yPPKTsqR25aVVpbp24rHTjc7VbyhFPGiQyrypump,solana,3,False,0,False,0,True,9524,
medium,70.0,AkuXKTbE8rnYCdpnW8eE1xtKfKfQ3uhwXS3dk9cbpump,solana,3,False,0,False,0,True,6125,
medium,70.0,2xMRHEpzjBroKEQTMjeafvR9BdmaJsxuivB7wnazyzLJ,solana,3,False,0,False,0,True,9803,
medium,70.0,EVUNTZPwJVir35s2EgMdnpF1Lh787S8bZgKSVApZpump,solana,3,False,0,False,0,True,9847,
medium,70.0,B3zWuNcVQK9YVHngeDH7UFwsmudWnNhFn89T1AQcpump,solana,3,False,0,False,0,True,8356,
medium,70.0,ooPKiXjyNhhosfVqriFv1KiktVsxx2ujd4pZc3Xpump,solana,3,False,0,False,0,True,9558,
medium,70.0,EwEJ5R1im54MowvsGwYUkyfWRMV1qcRL21PumVd4pump,solana,3,False,0,False,0,True,9854,
medium,70.0,HsZvkLneVfn3HVEdg649osbjicUEpVFdNZgYH9Mxpump,solana,3,False,0,False,0,True,8556,
medium,70.0,G3C8bR1ogqcV9vqwv8iBjKPoZ5tsKaW6JJEeWFpgpump,solana,3,False,0,False,0,True,9028,
medium,70.0,FJv6JHhiQmVPpauia3VLxNBTNBL3S2uKtDB8u6X1SpUq,solana,3,False,0,False,0,True,8770,
medium,70.0,GGzQjirXTSFRBgDYitzmT7Qgb1R2jQTzajdgpZaEbonk,solana,3,False,0,False,0,True,7521,
medium,70.0,7Am9zxtsCAvVeQvHCodT9LG3daMKRNg4rsUrFfvLpump,solana,3,False,0,False,0,True,9370,
medium,70.0,FTggXu7nYowpXjScSw7BZjtZDXywLNjK88CGhydDGgMS,solana,3,False,0,False,0,True,5457,
medium,70.0,hC16Tp4jsvU7oi9hGz4Q142FubFxNza6ParQSMkbonk,solana,3,False,0,False,0,True,7232,
medium,70.0,FYXnJhgLmhcELqsKyAfdKZExFfA7gaskQa5TuEZE9RZT,solana,3,False,0,False,0,True,8830,
medium,70.0,45peQFd9KD5pb8inMDN4RFGXdsyQEZY3qFDgvrgpBAGS,solana,3,False,0,False,0,True,6735,
medium,70.0,G2ajLzpiW6tPvRqdjz6QfFKyArrh7zh66Zi1rmoppump,solana,3,False,0,False,0,True,5978,
medium,70.0,7RJZhL31JHg2KCEp1gwQYdMGjNQfsiZavGGpAhYVbonk,solana,3,False,0,False,0,True,7125,
medium,70.0,GvhKJQGSLsPN49AM4cHS6YSDZysPmP5zq3E3Shwubonk,solana,3,False,0,False,0,True,6097,
medium,70.0,3cVapUxMFr7xjpBL3ih8uHTfcCj4xsAXuBDCGtN4bonk,solana,3,False,0,False,0,True,7600,
medium,70.0,7PagSBusvxQ252fuBFnhipMZwd4T4jGikLeuwrDibonk,solana,3,False,0,False,0,True,4189,
medium,70.0,6RVSfgQgRPvqjjzD5UFnhZZAQE8oJYQXHuEmZSkvbonk,solana,3,False,0,False,0,True,9872,
medium,70.0,8cNRL9gfQgg4N4wpVZy3o11ahUmUYHAd5KJPvXKmbonk,solana,3,False,0,False,0,True,8382,
medium,70.0,6xUYNCTUSAWDz7DThjJ2GoyqBA4g8mCgBvM6cYKXbonk,solana,3,False,0,False,0,True,5727,
medium,70.0,k5AMg1yUxaYTNXpVDpkrVn8VSgBe9K4t1pQYVCzbonk,solana,3,False,0,False,0,True,6093,
medium,70.0,2uaTpSujZBYwBZNXusmW7PqM8Vi4qwbyotnfWhaN9oT9,solana,3,False,0,False,0,True,4619,
medium,70.0,3hrGWXzgQzAikcG6rerG45tK7KLYw2dZ84owWJ14bonk,solana,3,False,0,False,0,True,7711,
medium,70.0,FZqHDGiCWAQgoWnx7bnW5SGU7SdSqy75ZNryJH9Bbonk,solana,3,False,0,False,0,True,8977,
