title,year,lot_id,price_text,location_text,time_text,url,source_page
2010 Holden Captiva LX AWD CG Automatic 7 Seats Wagon (RWC Issued 5th Dec),2010,21061202,"$1,850",VIC,,https://www.grays.com/lot/0001-21061202/motor-vehicles-motor-cycles/2010-holden-captiva-lx-awd-cg-automatic-7-seats-wagon-rwc-issued-5th-dec,1
2010 Nissan Navara ST-X 4X4 DOUBLE CAB D40 Turbo Diesel Automatic Dual Cab,2010,21061252,"$1,510",VIC,,https://www.grays.com/lot/0001-21061252/motor-vehicles-motor-cycles/2010-nissan-navara-st-x-4x4-double-cab-d40-turbo-diesel-automatic-dual-cab,1
2012 Subaru Liberty 2.5i B5 CVT Wagon,2012,21061197,"$1,410",VIC,,https://www.grays.com/lot/0001-21061197/motor-vehicles-motor-cycles/2012-subaru-liberty-2-5i-b5-cvt-wagon,1
2010 Mercedes Benz C-Class C200 CGI W204 Automatic Sedan,2010,21061289,"$1,309",VIC,,https://www.grays.com/lot/0001-21061289/motor-vehicles-motor-cycles/2010-mercedes-benz-c-class-c200-cgi-w204-automatic-sedan,1
2011 Mitsubishi Outlander LS ZH CVT Wagon,2011,21061203,"$1,950",VIC,,https://www.grays.com/lot/0001-21061203/motor-vehicles-motor-cycles/2011-mitsubishi-outlander-ls-zh-cvt-wagon,1
2008 Kia Rio LX JB Automatic Hatchback,2008,21061306,"$1,009",VIC,,https://www.grays.com/lot/0001-21061306/motor-vehicles-motor-cycles/2008-kia-rio-lx-jb-automatic-hatchback,1
2011 Holden Commodore Equipe VE Series II Automatic Wagon,2011,21061268,"$1,309",VIC,,https://www.grays.com/lot/0001-21061268/motor-vehicles-motor-cycles/2011-holden-commodore-equipe-ve-series-ii-automatic-wagon,1
2007 Chrysler 300C TOURING LE Turbo Diesel Automatic Wagon,2007,21061259,"$1,309",VIC,,https://www.grays.com/lot/0001-21061259/motor-vehicles-motor-cycles/2007-chrysler-300c-touring-le-turbo-diesel-automatic-wagon,1
2012 Ford Focus Titanium LW Turbo Diesel Automatic Hatchback,2012,21061316,"$1,400",VIC,,https://www.grays.com/lot/0001-21061316/motor-vehicles-motor-cycles/2012-ford-focus-titanium-lw-turbo-diesel-automatic-hatchback,1
2014 Jeep Cherokee LIMITED 4X4 KL 9 auto Wagon,2014,21061293,"$1,300",VIC,,https://www.grays.com/lot/0001-21061293/motor-vehicles-motor-cycles/2014-jeep-cherokee-limited-4x4-kl-9-auto-wagon,1
2012 Skoda Octavia 90TSI 1Z Manual Sedan,2012,21061279,$709,VIC,,https://www.grays.com/lot/0001-21061279/motor-vehicles-motor-cycles/2012-skoda-octavia-90tsi-1z-manual-sedan,1
2013 Ford Falcon XT FG II Automatic Sedan,2013,21061254,$609,VIC,,https://www.grays.com/lot/0001-21061254/motor-vehicles-motor-cycles/2013-ford-falcon-xt-fg-ii-automatic-sedan,1
2007 Peugeot 308 XSE HDi Turbo Diesel Automatic Hatchback,2007,21061269,$709,VIC,,https://www.grays.com/lot/0001-21061269/motor-vehicles-motor-cycles/2007-peugeot-308-xse-hdi-turbo-diesel-automatic-hatchback,1
2010 Suzuki Alto GL GF Automatic Hatchback,2010,21061196,$709,VIC,,https://www.grays.com/lot/0001-21061196/motor-vehicles-motor-cycles/2010-suzuki-alto-gl-gf-automatic-hatchback,1
2009 Hyundai i30cw SLX FD Automatic Wagon,2009,21061253,$309,VIC,,https://www.grays.com/lot/0001-21061253/motor-vehicles-motor-cycles/2009-hyundai-i30cw-slx-fd-automatic-wagon,1
2009 Ford Mondeo Titanium MB Automatic WOVR-REPAIRABLE,2009,21061297,$109,VIC,,https://www.grays.com/lot/0001-21061297/motor-vehicles-motor-cycles/2009-ford-mondeo-titanium-mb-automatic-wovr-repairable,1
2015 Jeep Grand Cherokee Laredo (4x4) WK Turbo Diesel Auto - 8 Speed Wagon,2015,21061318,"$5,900",VIC,,https://www.grays.com/lot/0001-21061318/motor-vehicles-motor-cycles/2015-jeep-grand-cherokee-laredo-4x4-wk-turbo-diesel-auto-8-speed-wagon,1
2016 Ford Escape TREND AWD ZG Turbo Diesel Automatic Wagon,2016,21061185,"$4,400",VIC,,https://www.grays.com/lot/0001-21061185/motor-vehicles-motor-cycles/2016-ford-escape-trend-awd-zg-turbo-diesel-automatic-wagon,1
2010 Mitsubishi Colt Ralliart RG Manual Hatchback,2010,21061031,"$3,200",VIC,,https://www.grays.com/lot/0001-21061031/motor-vehicles-motor-cycles/2010-mitsubishi-colt-ralliart-rg-manual-hatchback,1
2012 Jeep Wrangler Unlimited Sport JK Manual Wagon,2012,21061327,"$2,700",VIC,,https://www.grays.com/lot/0001-21061327/motor-vehicles-motor-cycles/2012-jeep-wrangler-unlimited-sport-jk-manual-wagon,1
2015 Land Rover Range Rover Evoque TD4 150 SE - WOVR REPAIRABLE,2015,21061294,"$1,209",VIC,,https://www.grays.com/lot/0001-21061294/motor-vehicles-motor-cycles/2015-land-rover-range-rover-evoque-td4-150-se-wovr-repairable,1
2015 BMW 4 Series 435i F32 Automatic - 8 Speed Coupe,2015,21061186,"$10,000",VIC,,https://www.grays.com/lot/0001-21061186/motor-vehicles-motor-cycles/2015-bmw-4-series-435i-f32-automatic-8-speed-coupe,1
2013 Nissan Pulsar Ti B17 CVT Sedan,2013,21061329,"$1,809",VIC,,https://www.grays.com/lot/0001-21061329/motor-vehicles-motor-cycles/2013-nissan-pulsar-ti-b17-cvt-sedan,1
2015 Volkswagen Caddy TDI250 MAXI BLUEMOT. Turbo Diesel Automatic Van,2015,21061295,"$2,000",VIC,,https://www.grays.com/lot/0001-21061295/motor-vehicles-motor-cycles/2015-volkswagen-caddy-tdi250-maxi-bluemot-turbo-diesel-automatic-van,1
2010 Subaru Impreza RS G3 Automatic Hatchback,2010,21061328,$309,VIC,,https://www.grays.com/lot/0001-21061328/motor-vehicles-motor-cycles/2010-subaru-impreza-rs-g3-automatic-hatchback,1
2008 Toyota Corolla Ascent ZRE152R Automatic Hatchback,2008,21061474,"$4,900",VIC,,https://www.grays.com/lot/0001-21061474/motor-vehicles-motor-cycles/2008-toyota-corolla-ascent-zre152r-automatic-hatchback,1
2015 Volkswagen Touareg V6 TDI 7P Turbo Diesel Automatic - 8 Speed Wagon,2015,21061454,"$3,109",VIC,,https://www.grays.com/lot/0001-21061454/motor-vehicles-motor-cycles/2015-volkswagen-touareg-v6-tdi-7p-turbo-diesel-automatic-8-speed-wagon,1
2013 Porsche Cayenne 92A Automatic - 8 Speed Wagon,2013,21061355,"$3,200",VIC,,https://www.grays.com/lot/0001-21061355/motor-vehicles-motor-cycles/2013-porsche-cayenne-92a-automatic-8-speed-wagon,1
2017 Land Rover DISCOVERY SPORT Si4 SE 9 auto Wagon,2017,21061453,"$3,650",VIC,,https://www.grays.com/lot/0001-21061453/motor-vehicles-motor-cycles/2017-land-rover-discovery-sport-si4-se-9-auto-wagon,1
2013 BMW 1 Series 118i F20 Automatic - 8 Speed Hatchback,2013,21061354,"$2,450",VIC,,https://www.grays.com/lot/0001-21061354/motor-vehicles-motor-cycles/2013-bmw-1-series-118i-f20-automatic-8-speed-hatchback,1
2014 Toyota HiAce KDH223R Turbo Diesel Automatic 14 Seats Bus,2014,21061400,"$1,600",VIC,,https://www.grays.com/lot/0001-21061400/motor-vehicles-motor-cycles/2014-toyota-hiace-kdh223r-turbo-diesel-automatic-14-seats-bus,1
2016 Holden Cruze SRi Z SERIES JH Automatic Sedan,2016,21061385,"$2,600",VIC,,https://www.grays.com/lot/0001-21061385/motor-vehicles-motor-cycles/2016-holden-cruze-sri-z-series-jh-automatic-sedan,1
2013 Toyota Camry Atara SL ASV50R Automatic Sedan,2013,21061382,"$2,000",VIC,,https://www.grays.com/lot/0001-21061382/motor-vehicles-motor-cycles/2013-toyota-camry-atara-sl-asv50r-automatic-sedan,1
2013 BMW 5 Series 520d F10 LCI Turbo Diesel Automatic - 8 Speed Sedan,2013,21061471,"$1,609",VIC,,https://www.grays.com/lot/0001-21061471/motor-vehicles-motor-cycles/2013-bmw-5-series-520d-f10-lci-turbo-diesel-automatic-8-speed-sedan,1
