Strategy,Total PnL %,Total Trades,Win Rate %,Avg Win,Avg Loss,Profit Factor,Sharpe Ratio,Max Drawdown %,Trailing Stop %,Stop Activation,Min Exit %,Profit Targets
"Strategy_883","-17.66","238","20.59","1.9385","0.7250","0.69","-0.14","93.51","40","4.0x","10","[{""target"":2,""percent"":0.15},{""target"":4,""percent"":0.15}]"
"Strategy_1702","-17.66","238","24.79","1.7478","0.8109","0.71","-0.13","99.37","30","3.0x","5","[{""target"":3,""percent"":0.05},{""target"":5,""percent"":0.05}]"
"Strategy_811","-17.85","238","20.59","2.0572","0.7581","0.70","-0.13","88.02","35","4.0x","2","[{""target"":2,""percent"":0.15},{""target"":4,""percent"":0.15}]"
"Strategy_231","-17.88","238","24.79","1.6651","0.7865","0.70","-0.14","96.07","30","3.0x","2","[{""target"":2,""percent"":0.1},{""target"":3,""percent"":0.1},{""target"":5,""percent"":0.1}]"
"Strategy_810","-17.92","238","20.59","2.0572","0.7590","0.70","-0.13","87.38","35","4.0x","1","[{""target"":2,""percent"":0.15},{""target"":4,""percent"":0.15}]"
"Strategy_2192","-17.93","238","24.79","1.7371","0.8109","0.71","-0.13","99.32","30","3.0x","5","[{""target"":3,""percent"":0.1},{""target"":6,""percent"":0.1}]"
"Strategy_230","-17.95","238","24.79","1.6651","0.7875","0.70","-0.14","95.40","30","3.0x","1","[{""target"":2,""percent"":0.1},{""target"":3,""percent"":0.1},{""target"":5,""percent"":0.1}]"
"Strategy_1201","-17.96","238","29.83","1.3193","0.8168","0.69","-0.14","94.13","30","2.5x","2","[{""target"":2.5,""percent"":0.1},{""target"":5,""percent"":0.1}]"
"Strategy_1200","-18.03","238","29.83","1.3193","0.8178","0.69","-0.14","93.47","30","2.5x","1","[{""target"":2.5,""percent"":0.1},{""target"":5,""percent"":0.1}]"
"Strategy_352","-18.11","238","38.66","0.8176","0.8105","0.64","-0.18","98.19","40","2.0x","5","[{""target"":2,""percent"":0.1},{""target"":3,""percent"":0.1},{""target"":5,""percent"":0.1}]"
"Strategy_445","-18.23","238","24.79","1.3484","0.6868","0.65","-0.17","99.83","45","3.0x","20","[{""target"":2,""percent"":0.1},{""target"":3,""percent"":0.1},{""target"":5,""percent"":0.1}]"
"Strategy_842","-18.23","238","38.66","0.8147","0.8105","0.63","-0.18","98.38","40","2.0x","5","[{""target"":2,""percent"":0.15},{""target"":4,""percent"":0.15}]"
"Strategy_3262","-18.29","238","20.17","2.2908","0.8079","0.72","-0.12","95.98","35","4.0x","5","[{""target"":4,""percent"":0.1}]"
"Strategy_374","-18.31","238","24.79","1.4486","0.7210","0.66","-0.16","99.97","40","3.0x","15","[{""target"":2,""percent"":0.1},{""target"":3,""percent"":0.1},{""target"":5,""percent"":0.1}]"
"Strategy_1701","-18.35","238","24.79","1.7478","0.8200","0.70","-0.13","99.47","30","3.0x","2","[{""target"":3,""percent"":0.05},{""target"":5,""percent"":0.05}]"
"Strategy_424","-18.38","238","38.66","0.7165","0.7512","0.60","-0.20","99.43","45","2.0x","15","[{""target"":2,""percent"":0.1},{""target"":3,""percent"":0.1},{""target"":5,""percent"":0.1}]"
"Strategy_1700","-18.42","238","24.79","1.7478","0.8210","0.70","-0.13","99.46","30","3.0x","1","[{""target"":3,""percent"":0.05},{""target"":5,""percent"":0.05}]"
"Strategy_914","-18.51","238","38.66","0.7132","0.7512","0.60","-0.20","99.98","45","2.0x","15","[{""target"":2,""percent"":0.15},{""target"":4,""percent"":0.15}]"
"Strategy_2191","-18.61","238","24.79","1.7371","0.8200","0.70","-0.14","99.32","30","3.0x","2","[{""target"":3,""percent"":0.1},{""target"":6,""percent"":0.1}]"
"Strategy_1773","-18.67","238","24.79","1.6292","0.7852","0.68","-0.14","99.93","35","3.0x","10","[{""target"":3,""percent"":0.05},{""target"":5,""percent"":0.05}]"
"Strategy_2190","-18.69","238","24.79","1.7371","0.8210","0.70","-0.14","98.61","30","3.0x","1","[{""target"":3,""percent"":0.1},{""target"":6,""percent"":0.1}]"
"Strategy_351","-18.73","238","38.66","0.8176","0.8205","0.63","-0.18","97.22","40","2.0x","2","[{""target"":2,""percent"":0.1},{""target"":3,""percent"":0.1},{""target"":5,""percent"":0.1}]"
"Strategy_350","-18.79","238","38.66","0.8176","0.8216","0.63","-0.18","96.50","40","2.0x","1","[{""target"":2,""percent"":0.1},{""target"":3,""percent"":0.1},{""target"":5,""percent"":0.1}]"
"Strategy_3404","-18.81","238","20.17","2.0432","0.7518","0.69","-0.14","99.70","45","4.0x","15","[{""target"":4,""percent"":0.1}]"
"Strategy_841","-18.84","238","38.66","0.8147","0.8205","0.63","-0.18","97.40","40","2.0x","2","[{""target"":2,""percent"":0.15},{""target"":4,""percent"":0.15}]"
"Strategy_2263","-18.84","238","24.79","1.6222","0.7852","0.68","-0.15","99.97","35","3.0x","10","[{""target"":3,""percent"":0.1},{""target"":6,""percent"":0.1}]"
"Strategy_840","-18.91","238","38.66","0.8147","0.8216","0.62","-0.18","96.68","40","2.0x","1","[{""target"":2,""percent"":0.15},{""target"":4,""percent"":0.15}]"
"Strategy_3261","-18.99","238","20.17","2.2908","0.8166","0.71","-0.13","95.30","35","4.0x","2","[{""target"":4,""percent"":0.1}]"
"Strategy_3260","-19.06","238","20.17","2.2908","0.8175","0.71","-0.13","94.59","35","4.0x","1","[{""target"":4,""percent"":0.1}]"
"Strategy_1344","-19.08","238","29.83","1.1213","0.7487","0.64","-0.17","99.45","40","2.5x","15","[{""target"":2.5,""percent"":0.1},{""target"":5,""percent"":0.1}]"
"Strategy_953","-19.10","238","20.59","1.8686","0.7250","0.67","-0.16","98.48","45","4.0x","10","[{""target"":2,""percent"":0.15},{""target"":4,""percent"":0.15}]"
"Strategy_3333","-19.44","238","20.17","2.1350","0.7828","0.69","-0.14","99.44","40","4.0x","10","[{""target"":4,""percent"":0.1}]"
"Strategy_1272","-19.48","238","29.83","1.2462","0.8074","0.66","-0.16","99.65","35","2.5x","5","[{""target"":2.5,""percent"":0.1},{""target"":5,""percent"":0.1}]"
"Strategy_302","-19.53","238","24.79","1.5712","0.7775","0.67","-0.16","99.94","35","3.0x","5","[{""target"":2,""percent"":0.1},{""target"":3,""percent"":0.1},{""target"":5,""percent"":0.1}]"
"Strategy_882","-19.61","238","20.59","1.9385","0.7495","0.67","-0.15","98.28","40","4.0x","5","[{""target"":2,""percent"":0.15},{""target"":4,""percent"":0.15}]"
"Strategy_1415","-19.77","238","29.83","1.0163","0.7139","0.61","-0.19","99.94","45","2.5x","20","[{""target"":2.5,""percent"":0.1},{""target"":5,""percent"":0.1}]"
"Strategy_2334","-19.99","238","24.79","1.4798","0.7535","0.65","-0.17","99.69","40","3.0x","15","[{""target"":3,""percent"":0.1},{""target"":6,""percent"":0.1}]"
"Strategy_1844","-20.00","238","24.79","1.4793","0.7535","0.65","-0.16","99.35","40","3.0x","15","[{""target"":3,""percent"":0.05},{""target"":5,""percent"":0.05}]"
"Strategy_2405","-20.08","238","24.79","1.3704","0.7187","0.63","-0.18","99.29","45","3.0x","20","[{""target"":3,""percent"":0.1},{""target"":6,""percent"":0.1}]"
