Rank,Strategy,WinRate,AvgPnlPerTrade,FinalPortfolio,CompoundFactor,TotalTrades,WinningTrades,LosingTrades,ProfitFactor,MaxDrawdown,AvgHoldDuration,InitialStop,ProfitTargets,EntryDelay,WaitForDip,DipConfirmation,StagedStops
41,Conservative_23,58.40,-0.39,98.10,0.9810,238,139,99,0.92,21.84,245,20%,"[{""target"":1.05,""percent"":0.3},{""target"":1.1,""percent"":0.3}]",0,,,"[{""activationMultiplier"":1.2,""stopPrice"":1},{""activationMultiplier"":1.5,""stopPrice"":1.2}]"
42,Conservative_3,58.40,-0.40,97.96,0.9796,238,139,99,0.95,35.47,245,20%,"[{""target"":1.2,""percent"":0.3},{""target"":1.5,""percent"":0.3}]",0,,,"[{""activationMultiplier"":1.2,""stopPrice"":1},{""activationMultiplier"":1.5,""stopPrice"":1.2}]"
43,Conservative_15,58.40,-0.47,97.68,0.9768,238,139,99,0.94,31.31,245,20%,"[{""target"":1.15,""percent"":0.25},{""target"":1.3,""percent"":0.25}]",0,,,"[{""activationMultiplier"":1.2,""stopPrice"":1},{""activationMultiplier"":1.5,""stopPrice"":1.2}]"
44,Delay_40,45.80,-0.64,96.95,0.9695,238,109,129,0.88,60.00,267,10%,"[{""target"":1.2,""percent"":0.3},{""target"":1.5,""percent"":0.3}]",5,,,"[{""activationMultiplier"":1.2,""stopPrice"":1}]"
45,Conservative_11,58.40,-0.64,96.83,0.9683,238,139,99,0.92,38.21,245,20%,"[{""target"":1.2,""percent"":0.2},{""target"":1.4,""percent"":0.2},{""target"":1.6,""percent"":0.2}]",0,,,"[{""activationMultiplier"":1.2,""stopPrice"":1},{""activationMultiplier"":1.5,""stopPrice"":1.2}]"
46,DipEntry_26,30.25,-0.65,96.81,0.9681,238,72,166,0.91,34.53,110,15%,"[{""target"":1.3,""percent"":0.3},{""target"":1.6,""percent"":0.3}]",0,20%,10%,"[{""activationMultiplier"":1.2,""stopPrice"":1},{""activationMultiplier"":1.5,""stopPrice"":1.2}]"
47,DipEntry_31,28.15,-0.71,96.57,0.9657,238,67,171,0.90,36.79,20,15%,"[{""target"":1.3,""percent"":0.3},{""target"":1.6,""percent"":0.3}]",0,30%,15%,"[{""activationMultiplier"":1.2,""stopPrice"":1},{""activationMultiplier"":1.5,""stopPrice"":1.2}]"
48,Conservative_7,36.97,-1.19,94.33,0.9433,238,88,150,0.86,43.79,245,20%,"[{""target"":1.3,""percent"":0.25},{""target"":1.6,""percent"":0.25}]",0,,,"[{""activationMultiplier"":1.2,""stopPrice"":1},{""activationMultiplier"":1.5,""stopPrice"":1.2}]"
49,Delay_41,43.28,-1.36,93.68,0.9368,238,103,135,0.76,79.51,263,10%,"[{""target"":1.2,""percent"":0.3},{""target"":1.5,""percent"":0.3}]",10,,,"[{""activationMultiplier"":1.2,""stopPrice"":1}]"
50,Delay_42,38.24,-2.23,89.87,0.8987,238,91,147,0.64,99.73,258,10%,"[{""target"":1.2,""percent"":0.3},{""target"":1.5,""percent"":0.3}]",15,,,"[{""activationMultiplier"":1.2,""stopPrice"":1}]"
51,Delay_43,37.39,-2.25,89.81,0.8981,238,89,149,0.64,99.90,221,10%,"[{""target"":1.2,""percent"":0.3},{""target"":1.5,""percent"":0.3}]",30,,,"[{""activationMultiplier"":1.2,""stopPrice"":1}]"
52,Delay_44,35.71,-3.09,86.30,0.8630,238,85,153,0.52,99.80,183,10%,"[{""target"":1.2,""percent"":0.3},{""target"":1.5,""percent"":0.3}]",60,,,"[{""activationMultiplier"":1.2,""stopPrice"":1}]"
53,DipEntry_27,25.63,-3.23,85.64,0.8564,238,61,177,0.61,99.73,58,15%,"[{""target"":1.3,""percent"":0.3},{""target"":1.6,""percent"":0.3}]",0,20%,15%,"[{""activationMultiplier"":1.2,""stopPrice"":1},{""activationMultiplier"":1.5,""stopPrice"":1.2}]"
