TradeNumber,AlertTime,PnL,PositionSize,TradeReturn,PortfolioBefore,PortfolioAfter
790,2025-08-25T21:02:26.000Z,1.309103,74.22,22.94,855.19,878.14
791,2025-08-25T23:08:36.000Z,0.940510,74.22,-4.42,878.14,873.72
792,2025-08-26T00:13:00.000Z,1.006964,74.22,0.52,873.72,874.24
793,2025-08-26T00:33:48.000Z,1.030269,74.22,2.25,874.24,876.48
794,2025-08-26T01:06:04.000Z,1.004736,74.22,0.35,876.48,876.84
795,2025-08-26T01:06:19.000Z,1.000000,74.22,0.00,876.84,876.84
796,2025-08-26T01:12:20.000Z,1.013143,74.22,0.98,876.84,877.81
797,2025-08-26T06:53:33.000Z,1.195614,74.22,14.52,877.81,892.33
798,2025-08-26T07:02:18.000Z,1.000000,74.22,0.00,892.33,892.33
799,2025-08-26T07:02:53.000Z,1.000000,74.22,0.00,892.33,892.33
800,2025-08-26T07:23:16.000Z,0.846153,74.22,-11.42,892.33,880.91
801,2025-08-26T07:30:58.000Z,1.011432,74.22,0.85,880.91,881.76
802,2025-08-26T09:49:59.000Z,1.009475,74.22,0.70,881.76,882.46
803,2025-08-26T12:42:13.000Z,0.978257,74.22,-1.61,882.46,880.85
804,2025-08-26T15:05:38.000Z,0.990797,74.22,-0.68,880.85,880.17
805,2025-08-26T15:15:18.000Z,1.211735,74.22,15.72,880.17,895.88
806,2025-08-26T15:34:57.000Z,1.044035,74.22,3.27,895.88,899.15
807,2025-08-26T17:49:17.000Z,1.008311,74.22,0.62,899.15,899.77
808,2025-08-26T19:01:39.000Z,1.000000,74.22,0.00,899.77,899.77
809,2025-08-26T21:09:25.000Z,1.000000,74.22,0.00,899.77,899.77
810,2025-08-26T21:29:37.000Z,0.800000,74.22,-14.84,899.77,884.92
811,2025-08-26T21:33:37.000Z,0.967012,74.22,-2.45,884.92,882.47
812,2025-08-26T21:40:27.000Z,1.048295,74.22,3.58,882.47,886.06
813,2025-08-26T22:35:03.000Z,1.000000,74.22,0.00,886.06,886.06
814,2025-08-27T00:55:22.000Z,1.056080,74.22,4.16,886.06,890.22
815,2025-08-27T00:56:42.000Z,0.819677,74.22,-13.38,890.22,876.84
816,2025-08-27T01:00:15.000Z,1.075931,74.22,5.64,876.84,882.47
817,2025-08-27T01:02:38.000Z,0.982218,74.22,-1.32,882.47,881.15
818,2025-08-27T06:26:46.000Z,0.983623,74.22,-1.22,881.15,879.94
819,2025-08-27T09:04:03.000Z,0.992299,74.22,-0.57,879.94,879.37
820,2025-08-27T10:39:33.000Z,1.000000,74.22,0.00,879.37,879.37
821,2025-08-27T11:07:51.000Z,0.995361,74.22,-0.34,879.37,879.02
822,2025-08-27T13:10:34.000Z,0.997708,74.22,-0.17,879.02,878.85
823,2025-08-27T13:52:25.000Z,0.978607,74.22,-1.59,878.85,877.26
824,2025-08-27T14:58:54.000Z,0.952709,74.22,-3.51,877.26,873.75
825,2025-08-27T15:26:22.000Z,0.999047,74.22,-0.07,873.75,873.68
826,2025-08-27T16:40:58.000Z,1.174910,74.22,12.98,873.68,886.67
827,2025-08-27T17:15:07.000Z,0.989700,74.22,-0.76,886.67,885.90
828,2025-08-27T19:20:41.000Z,0.989307,74.22,-0.79,885.90,885.11
829,2025-08-27T20:53:32.000Z,0.958797,74.22,-3.06,885.11,882.05
830,2025-08-27T20:56:04.000Z,1.027845,74.22,2.07,882.05,884.12
831,2025-08-27T21:43:55.000Z,0.918359,74.22,-6.06,884.12,878.06
832,2025-08-27T23:04:05.000Z,0.947828,74.22,-3.87,878.06,874.18
833,2025-08-28T01:22:58.000Z,1.287591,74.22,21.35,874.18,895.53
834,2025-08-28T09:58:01.000Z,1.000000,74.22,0.00,895.53,895.53
835,2025-08-28T10:21:33.000Z,0.974496,74.22,-1.89,895.53,893.64
836,2025-08-28T10:48:14.000Z,1.086902,74.22,6.45,893.64,900.09
837,2025-08-28T12:08:27.000Z,0.921632,74.22,-5.82,900.09,894.27
838,2025-08-28T12:47:09.000Z,0.988355,74.22,-0.86,894.27,893.41
839,2025-08-28T13:22:52.000Z,1.000000,74.22,0.00,893.41,893.41
840,2025-08-28T15:56:45.000Z,1.053100,74.22,3.94,893.41,897.35
841,2025-08-28T17:18:47.000Z,0.987583,74.22,-0.92,897.35,896.43
842,2025-08-28T20:36:44.000Z,0.984892,74.22,-1.12,896.43,895.30
843,2025-08-28T21:21:02.000Z,1.085251,74.22,6.33,895.30,901.63
844,2025-08-29T08:22:41.000Z,0.992711,74.22,-0.54,901.63,901.09
845,2025-08-29T09:02:49.000Z,1.251373,74.22,18.66,901.09,919.75
846,2025-08-29T13:44:37.000Z,0.988826,74.22,-0.83,919.75,918.92
847,2025-08-29T16:14:11.000Z,0.979373,74.22,-1.53,918.92,917.39
848,2025-08-29T16:22:50.000Z,1.006296,74.22,0.47,917.39,917.86
849,2025-08-29T18:41:19.000Z,1.161212,74.22,11.97,917.86,929.82
850,2025-08-29T18:42:01.000Z,1.325831,74.22,24.18,929.82,954.01
851,2025-08-29T21:04:17.000Z,0.968840,74.22,-2.31,954.01,951.69
852,2025-08-30T00:14:46.000Z,1.498097,74.22,36.97,951.69,988.66
853,2025-08-30T00:35:47.000Z,0.993251,74.22,-0.50,988.66,988.16
854,2025-08-30T00:44:03.000Z,1.011245,74.22,0.83,988.16,989.00
855,2025-08-30T01:58:41.000Z,1.164069,74.22,12.18,989.00,1001.17
856,2025-08-30T08:39:14.000Z,0.878837,74.22,-8.99,1001.17,992.18
857,2025-08-30T09:34:41.000Z,0.991015,74.22,-0.67,992.18,991.51
858,2025-08-30T09:40:53.000Z,1.012781,74.22,0.95,991.51,992.46
859,2025-08-30T10:24:26.000Z,0.974888,74.22,-1.86,992.46,990.60
860,2025-08-30T11:47:14.000Z,1.043650,74.22,3.24,990.60,993.84
861,2025-08-30T13:02:15.000Z,0.986959,74.22,-0.97,993.84,992.87
862,2025-08-30T15:55:57.000Z,0.993992,74.22,-0.45,992.87,992.42
863,2025-08-30T18:54:07.000Z,1.027460,74.22,2.04,992.42,994.46
864,2025-08-30T18:56:10.000Z,0.995904,74.22,-0.30,994.46,994.16
865,2025-08-30T23:55:06.000Z,1.011015,74.22,0.82,994.16,994.98
866,2025-08-31T02:38:25.000Z,1.017341,74.22,1.29,994.98,996.26
867,2025-08-31T02:50:16.000Z,0.989557,74.22,-0.78,996.26,995.49
868,2025-08-31T10:08:57.000Z,1.000000,74.22,0.00,995.49,995.49
869,2025-08-31T11:33:56.000Z,1.000000,74.22,0.00,995.49,995.49
870,2025-08-31T12:29:06.000Z,0.893773,74.22,-7.88,995.49,987.60
871,2025-08-31T14:43:48.000Z,1.365242,98.76,36.07,987.60,1023.68
872,2025-08-31T16:01:53.000Z,1.400564,98.76,39.56,1023.68,1063.24
873,2025-08-31T16:35:32.000Z,2.916395,98.76,189.26,1063.24,1252.50
874,2025-08-31T17:18:45.000Z,1.010381,98.76,1.03,1252.50,1253.52
875,2025-08-31T22:49:24.000Z,1.014244,98.76,1.41,1253.52,1254.93
876,2025-09-01T03:45:16.000Z,0.968704,98.76,-3.09,1254.93,1251.84
877,2025-09-01T05:07:44.000Z,0.800000,98.76,-19.75,1251.84,1232.09
878,2025-09-01T10:58:31.000Z,0.800000,98.76,-19.75,1232.09,1212.34
879,2025-09-01T10:59:42.000Z,1.245370,98.76,24.23,1212.34,1236.57
880,2025-09-01T12:06:14.000Z,0.800000,98.76,-19.75,1236.57,1216.82
881,2025-09-01T12:19:32.000Z,0.990492,98.76,-0.94,1216.82,1215.88
882,2025-09-01T12:28:19.000Z,1.000000,98.76,0.00,1215.88,1215.88
883,2025-09-01T13:18:26.000Z,1.146905,98.76,14.51,1215.88,1230.39
884,2025-09-01T16:29:19.000Z,0.988258,98.76,-1.16,1230.39,1229.23
885,2025-09-01T17:26:34.000Z,1.063367,98.76,6.26,1229.23,1235.49
886,2025-09-01T17:28:21.000Z,0.823744,98.76,-17.41,1235.49,1218.08
887,2025-09-01T19:08:20.000Z,0.942000,98.76,-5.73,1218.08,1212.35
888,2025-09-02T03:05:48.000Z,1.183261,98.76,18.10,1212.35,1230.45
889,2025-09-02T09:40:28.000Z,0.987022,98.76,-1.28,1230.45,1229.17
890,2025-09-02T09:55:09.000Z,0.827033,98.76,-17.08,1229.17,1212.09
891,2025-09-02T11:49:55.000Z,0.942964,98.76,-5.63,1212.09,1206.45
892,2025-09-02T12:06:28.000Z,1.006834,98.76,0.67,1206.45,1207.13
893,2025-09-02T12:46:36.000Z,0.986858,98.76,-1.30,1207.13,1205.83
894,2025-09-02T12:54:30.000Z,0.970703,98.76,-2.89,1205.83,1202.94
895,2025-09-02T15:35:01.000Z,0.970067,98.76,-2.96,1202.94,1199.98
896,2025-09-02T18:35:43.000Z,1.000000,98.76,0.00,1199.98,1199.98
897,2025-09-02T18:54:49.000Z,0.974351,98.76,-2.53,1199.98,1197.45
898,2025-09-02T21:28:54.000Z,0.965577,98.76,-3.40,1197.45,1194.05
899,2025-09-02T21:30:44.000Z,0.936290,98.76,-6.29,1194.05,1187.75
900,2025-09-02T22:13:33.000Z,0.990173,98.76,-0.97,1187.75,1186.78
901,2025-09-02T22:13:51.000Z,1.003640,98.76,0.36,1186.78,1187.14
902,2025-09-02T23:23:43.000Z,1.029377,98.76,2.90,1187.14,1190.05
903,2025-09-02T23:33:43.000Z,1.044580,98.76,4.40,1190.05,1194.45
904,2025-09-03T00:04:58.000Z,0.894525,98.76,-10.42,1194.45,1184.03
905,2025-09-03T06:14:54.000Z,1.014380,98.76,1.42,1184.03,1185.45
906,2025-09-03T06:52:36.000Z,0.906160,98.76,-9.27,1185.45,1176.18
907,2025-09-03T09:46:42.000Z,0.813427,98.76,-18.43,1176.18,1157.76
908,2025-09-03T12:38:06.000Z,0.874446,98.76,-12.40,1157.76,1145.36
909,2025-09-03T13:44:34.000Z,1.025816,98.76,2.55,1145.36,1147.91
910,2025-09-03T14:02:51.000Z,1.328581,98.76,32.45,1147.91,1180.36
911,2025-09-03T14:04:13.000Z,1.003746,98.76,0.37,1180.36,1180.73
912,2025-09-03T14:44:24.000Z,1.105612,98.76,10.43,1180.73,1191.16
913,2025-09-03T14:44:40.000Z,1.051374,98.76,5.07,1191.16,1196.23
914,2025-09-03T14:48:41.000Z,1.006107,98.76,0.60,1196.23,1196.84
915,2025-09-03T18:03:47.000Z,0.909471,98.76,-8.94,1196.84,1187.89
916,2025-09-03T18:13:57.000Z,1.000000,98.76,0.00,1187.89,1187.89
917,2025-09-03T18:14:33.000Z,1.206284,98.76,20.37,1187.89,1208.27
918,2025-09-03T18:23:23.000Z,1.000048,98.76,0.00,1208.27,1208.27
919,2025-09-03T19:27:44.000Z,0.990821,98.76,-0.91,1208.27,1207.37
920,2025-09-03T19:39:26.000Z,1.011967,98.76,1.18,1207.37,1208.55
921,2025-09-03T20:24:06.000Z,1.021970,98.76,2.17,1208.55,1210.72
922,2025-09-03T20:35:13.000Z,1.003304,98.76,0.33,1210.72,1211.04
923,2025-09-03T21:01:20.000Z,0.921388,98.76,-7.76,1211.04,1203.28
924,2025-09-03T22:12:15.000Z,0.992121,98.76,-0.78,1203.28,1202.50
925,2025-09-04T00:00:14.000Z,1.003614,98.76,0.36,1202.50,1202.86
926,2025-09-04T07:10:38.000Z,0.811728,98.76,-18.59,1202.86,1184.26
927,2025-09-04T07:28:49.000Z,0.954195,98.76,-4.52,1184.26,1179.74
928,2025-09-04T07:55:44.000Z,1.011733,98.76,1.16,1179.74,1180.90
929,2025-09-04T08:47:16.000Z,1.000000,98.76,0.00,1180.90,1180.90
930,2025-09-04T12:12:22.000Z,0.935305,98.76,-6.39,1180.90,1174.51
931,2025-09-04T12:33:55.000Z,1.118678,98.76,11.72,1174.51,1186.23
932,2025-09-04T12:55:14.000Z,0.986149,98.76,-1.37,1186.23,1184.86
933,2025-09-04T13:16:41.000Z,1.005476,98.76,0.54,1184.86,1185.40
934,2025-09-04T13:35:36.000Z,1.041743,98.76,4.12,1185.40,1189.53
935,2025-09-04T14:16:47.000Z,1.000855,98.76,0.08,1189.53,1189.61
936,2025-09-04T15:04:03.000Z,1.796580,98.76,78.67,1189.61,1268.28
937,2025-09-04T15:38:46.000Z,0.987362,98.76,-1.25,1268.28,1267.03
938,2025-09-04T15:43:38.000Z,0.983273,98.76,-1.65,1267.03,1265.38
939,2025-09-04T16:00:03.000Z,1.014040,98.76,1.39,1265.38,1266.77
940,2025-09-04T16:09:56.000Z,1.000000,98.76,0.00,1266.77,1266.77
941,2025-09-04T18:23:26.000Z,0.989890,98.76,-1.00,1266.77,1265.77
942,2025-09-04T19:26:30.000Z,0.991861,98.76,-0.80,1265.77,1264.97
943,2025-09-04T19:50:26.000Z,1.001387,98.76,0.14,1264.97,1265.10
944,2025-09-04T22:48:30.000Z,1.005033,98.76,0.50,1265.10,1265.60
945,2025-09-04T23:09:47.000Z,0.929367,98.76,-6.98,1265.60,1258.62
946,2025-09-04T23:39:16.000Z,1.062900,98.76,6.21,1258.62,1264.84
947,2025-09-05T00:47:31.000Z,1.002087,98.76,0.21,1264.84,1265.04
948,2025-09-05T08:47:47.000Z,1.004829,98.76,0.48,1265.04,1265.52
949,2025-09-05T11:56:48.000Z,0.822213,98.76,-17.56,1265.52,1247.96
950,2025-09-05T12:12:05.000Z,0.995647,98.76,-0.43,1247.96,1247.53
951,2025-09-05T13:48:54.000Z,0.989026,98.76,-1.08,1247.53,1246.45
952,2025-09-05T14:29:04.000Z,1.000000,98.76,0.00,1246.45,1246.45
953,2025-09-05T16:10:23.000Z,0.983450,98.76,-1.63,1246.45,1244.81
954,2025-09-05T16:19:46.000Z,0.800000,98.76,-19.75,1244.81,1225.06
955,2025-09-05T16:48:44.000Z,0.946280,98.76,-5.31,1225.06,1219.76
956,2025-09-05T17:07:12.000Z,1.007473,98.76,0.74,1219.76,1220.49
957,2025-09-05T18:42:47.000Z,1.007673,98.76,0.76,1220.49,1221.25
958,2025-09-05T20:03:38.000Z,1.000000,98.76,0.00,1221.25,1221.25
959,2025-09-05T23:35:57.000Z,0.947556,98.76,-5.18,1221.25,1216.07
960,2025-09-05T23:46:25.000Z,0.985873,98.76,-1.40,1216.07,1214.68
961,2025-09-06T06:59:57.000Z,1.038843,98.76,3.84,1214.68,1218.51
962,2025-09-06T07:12:00.000Z,1.098796,98.76,9.76,1218.51,1228.27
963,2025-09-06T08:41:22.000Z,0.987117,98.76,-1.27,1228.27,1227.00
964,2025-09-06T08:55:19.000Z,0.967752,98.76,-3.18,1227.00,1223.81
965,2025-09-06T11:48:38.000Z,0.883233,98.76,-11.53,1223.81,1212.28
966,2025-09-06T11:49:22.000Z,0.991664,98.76,-0.82,1212.28,1211.46
967,2025-09-06T12:24:37.000Z,0.982136,98.76,-1.76,1211.46,1209.69
968,2025-09-06T13:34:24.000Z,1.000539,98.76,0.05,1209.69,1209.75
969,2025-09-06T14:00:54.000Z,0.800000,98.76,-19.75,1209.75,1189.99
970,2025-09-06T17:22:16.000Z,0.991549,98.76,-0.83,1189.99,1189.16
971,2025-09-06T22:30:53.000Z,1.012548,98.76,1.24,1189.16,1190.40
972,2025-09-06T23:29:16.000Z,1.024788,98.76,2.45,1190.40,1192.85
973,2025-09-07T00:40:49.000Z,0.910099,98.76,-8.88,1192.85,1183.97
974,2025-09-07T09:30:51.000Z,0.800000,98.76,-19.75,1183.97,1164.22
975,2025-09-07T13:34:22.000Z,0.997072,98.76,-0.29,1164.22,1163.93
976,2025-09-07T14:12:50.000Z,0.955131,116.39,-5.22,1163.93,1158.70
977,2025-09-07T15:12:53.000Z,0.940114,116.39,-6.97,1158.70,1151.73
978,2025-09-07T15:30:11.000Z,0.800000,116.39,-23.28,1151.73,1128.46
979,2025-09-07T16:14:42.000Z,0.973734,116.39,-3.06,1128.46,1125.40
980,2025-09-07T17:12:38.000Z,0.902419,116.39,-11.36,1125.40,1114.04
981,2025-09-07T19:44:05.000Z,0.821855,116.39,-20.73,1114.04,1093.31
982,2025-09-07T20:00:18.000Z,1.000000,116.39,0.00,1093.31,1093.31
983,2025-09-07T21:20:51.000Z,1.081386,116.39,9.47,1093.31,1102.78
