Strategy,TotalTrades,WinRate,AvgPnlPerTrade,FinalPortfolio,CompoundFactor,MaxDrawdown,MaxDrawdownPct,StdDevReturns,RiskAdjustedScore,AvgPerTradeMaxDrawdown,AvgRiskRatio,SharpeRatio,LossClampEnabled,MinPnlFloor
PT2_SL15_TS10@1.3_ExitCross_KijunSL_NoClamp,403,45.66,5.27,685.02,6.8502,58.47,8.45,27.44,0.2132,4.28,4.79,3.0489,No,0.8
PT2_SL15_TS10@1.3_ExitCross_KijunSL_Clamp80,403,45.66,5.27,685.02,6.8502,58.47,8.45,27.44,0.2132,4.28,4.79,3.0489,Yes,0.8
PT2-3_SL25_TS10@1.3_ExitCross_KijunSL_Clamp80,403,46.65,5.23,679.59,6.7959,62.54,9.04,26.36,0.2199,4.51,4.87,3.1491,Yes,0.8
PT1.5-2_SL20_TS10@1.3_ExitCross_KijunSL_Clamp85,403,46.40,5.18,676.72,6.7672,55.43,8.10,24.69,0.2336,4.14,4.87,3.3285,Yes,0.85
PT2_SL25_TS10@1.3_ExitCross_KijunSL_NoClamp,403,46.65,5.20,662.40,6.6240,67.77,10.00,28.17,0.1996,4.73,4.86,2.9284,No,0.8
PT2_SL20_TS10@1.3_ExitCross_KijunSL_NoClamp,403,46.40,5.18,657.74,6.5774,66.12,9.87,27.78,0.2008,4.56,4.85,2.9600,No,0.8
PT2_SL20_TS10@1.3_ExitCross_KijunSL_Clamp80,403,46.40,5.18,657.74,6.5774,66.12,9.87,27.78,0.2008,4.56,4.85,2.9600,Yes,0.8
PT2-3_SL15_TS10@1.3_ExitCross_KijunSL_NoClamp,403,45.66,5.09,644.46,6.4446,55.31,8.49,25.80,0.2110,4.28,4.79,3.1291,No,0.8
PT2-3_SL15_TS10@1.3_ExitCross_KijunSL_Clamp80,403,45.66,5.09,644.46,6.4446,55.31,8.49,25.80,0.2110,4.28,4.79,3.1291,Yes,0.8
PT2-3_SL15_TS10@1.3_ExitCross_KijunSL_Clamp85,403,45.66,5.09,644.46,6.4446,55.31,8.49,25.80,0.2110,4.28,4.79,3.1291,Yes,0.85
PT1.5_SL25_TS10@1.3_ExitCross_KijunSL_Clamp80,403,46.65,5.04,638.13,6.3813,61.51,9.46,26.26,0.2049,4.51,4.87,3.0479,Yes,0.8
PT2-3_SL25_TS10@1.3_ExitCross_KijunSL_NoClamp,403,46.65,5.01,622.95,6.2295,64.10,10.05,26.58,0.1967,4.73,4.86,2.9940,No,0.8
PT1.5-2_SL25_TS10@1.3_ExitCross_KijunSL_Clamp80,403,46.65,4.97,622.43,6.2243,59.80,9.43,25.22,0.2071,4.51,4.87,3.1271,Yes,0.8
PT2-3_SL20_TS10@1.3_ExitCross_KijunSL_NoClamp,403,46.40,5.00,618.64,6.1864,62.54,9.93,26.16,0.1982,4.56,4.85,3.0312,No,0.8
PT2-3_SL20_TS10@1.3_ExitCross_KijunSL_Clamp80,403,46.40,5.00,618.64,6.1864,62.54,9.93,26.16,0.1982,4.56,4.85,3.0312,Yes,0.8
PT1.5_SL15_TS10@1.3_ExitCross_KijunSL_NoClamp,403,45.66,4.93,612.09,6.1209,54.40,8.79,25.78,0.1987,4.28,4.79,3.0357,No,0.8
PT1.5_SL15_TS10@1.3_ExitCross_KijunSL_Clamp80,403,45.66,4.93,612.09,6.1209,54.40,8.79,25.78,0.1987,4.28,4.79,3.0357,Yes,0.8
PT1.5_SL15_TS10@1.3_ExitCross_KijunSL_Clamp85,403,45.66,4.93,612.09,6.1209,54.40,8.79,25.78,0.1987,4.28,4.79,3.0357,Yes,0.85
PT1.5-2_SL15_TS10@1.3_ExitCross_KijunSL_NoClamp,403,45.66,4.85,594.80,5.9480,52.89,8.80,24.69,0.2004,4.28,4.79,3.1152,No,0.8
PT1.5-2_SL15_TS10@1.3_ExitCross_KijunSL_Clamp80,403,45.66,4.85,594.80,5.9480,52.89,8.80,24.69,0.2004,4.28,4.79,3.1152,Yes,0.8
PT1.5-2_SL15_TS10@1.3_ExitCross_KijunSL_Clamp85,403,45.66,4.85,594.80,5.9480,52.89,8.80,24.69,0.2004,4.28,4.79,3.1152,Yes,0.85
PT1.5_SL20_TS10@1.3_ExitCross_KijunSL_Clamp80,403,46.40,4.84,587.57,5.8757,61.51,10.28,26.14,0.1865,4.56,4.85,2.9390,Yes,0.8
PT1.5_SL20_TS10@1.3_ExitCross_KijunSL_NoClamp,403,46.40,4.84,587.57,5.8757,61.51,10.28,26.14,0.1865,4.56,4.85,2.9390,No,0.8
PT1.5_SL25_TS10@1.3_ExitCross_KijunSL_NoClamp,403,46.65,4.83,584.91,5.8491,63.04,10.53,26.49,0.1831,4.73,4.86,2.8932,No,0.8
PT1.5-2_SL20_TS10@1.3_ExitCross_KijunSL_NoClamp,403,46.40,4.75,570.88,5.7088,59.80,10.29,25.07,0.1879,4.56,4.85,3.0113,No,0.8
PT1.5-2_SL20_TS10@1.3_ExitCross_KijunSL_Clamp80,403,46.40,4.75,570.88,5.7088,59.80,10.29,25.07,0.1879,4.56,4.85,3.0113,Yes,0.8
PT1.5-2_SL25_TS10@1.3_ExitCross_KijunSL_NoClamp,403,46.65,4.75,570.48,5.7048,61.28,10.50,25.45,0.1849,4.73,4.86,2.9644,No,0.8
PT2_SL25_TS10@1.3_ExitCross_FixedSL_Clamp85,403,33.50,4.81,561.73,5.6173,102.52,15.43,30.40,0.1519,7.03,4.13,2.5102,Yes,0.85
PT2-3_SL25_TS10@1.3_ExitCross_FixedSL_Clamp85,403,33.50,4.59,524.09,5.2409,95.65,15.43,28.77,0.1474,7.03,4.13,2.5347,Yes,0.85
PT2_SL25_TS15@1.5_NoExitCross_KijunSL_Clamp85,403,44.91,4.36,485.67,4.8567,40.21,8.28,27.21,0.1417,4.04,21.29,2.5464,Yes,0.85
PT2-3_SL25_TS15@1.5_NoExitCross_KijunSL_Clamp85,403,44.91,4.23,464.93,4.6493,38.49,8.28,25.98,0.1404,4.04,21.29,2.5855,Yes,0.85
PT2_SL20_TS15@1.5_NoExitCross_KijunSL_Clamp85,403,44.67,4.17,449.58,4.4958,37.22,8.28,27.06,0.1292,4.08,21.19,2.4451,Yes,0.85
PT1.5_SL25_TS10@1.3_ExitCross_FixedSL_Clamp85,403,33.50,4.16,449.01,4.4901,81.94,15.43,27.64,0.1263,7.03,4.13,2.3900,Yes,0.85
PT1.5-2_SL25_TS10@1.3_ExitCross_FixedSL_Clamp85,403,33.50,4.08,439.75,4.3975,80.25,15.43,26.55,0.1280,7.03,4.13,2.4415,Yes,0.85
PT1.5_SL25_TS15@1.5_NoExitCross_KijunSL_Clamp85,403,44.91,4.02,432.13,4.3213,35.19,8.14,25.45,0.1305,4.04,21.29,2.5087,Yes,0.85
PT2-3_SL20_TS15@1.5_NoExitCross_KijunSL_Clamp85,403,44.67,4.04,430.39,4.3039,35.63,8.28,25.83,0.1279,4.08,21.19,2.4804,Yes,0.85
PT2_SL15_TS15@1.5_NoExitCross_KijunSL_NoClamp,403,44.42,4.03,426.66,4.2666,35.44,8.30,27.10,0.1205,4.17,21.05,2.3637,No,0.8
PT2_SL15_TS15@1.5_NoExitCross_KijunSL_Clamp80,403,44.42,4.03,426.66,4.2666,35.44,8.30,27.10,0.1205,4.17,21.05,2.3637,Yes,0.8
PT2_SL15_TS15@1.5_NoExitCross_KijunSL_Clamp85,403,44.42,4.03,426.66,4.2666,35.44,8.30,27.10,0.1205,4.17,21.05,2.3637,Yes,0.85
PT2_SL25_TS15@1.5_NoExitCross_KijunSL_Clamp80,403,44.91,4.03,424.01,4.2401,36.91,8.70,27.48,0.1179,4.38,21.27,2.3258,Yes,0.8
PT1.5-2_SL25_TS15@1.5_NoExitCross_KijunSL_Clamp85,403,44.91,3.94,420.84,4.2084,34.46,8.19,24.53,0.1308,4.04,21.29,2.5524,Yes,0.85
PT2-3_SL15_TS15@1.5_NoExitCross_KijunSL_NoClamp,403,44.42,3.90,408.45,4.0845,33.92,8.30,25.86,0.1193,4.17,21.05,2.3950,No,0.8
PT2-3_SL15_TS15@1.5_NoExitCross_KijunSL_Clamp80,403,44.42,3.90,408.45,4.0845,33.92,8.30,25.86,0.1193,4.17,21.05,2.3950,Yes,0.8
PT2-3_SL15_TS15@1.5_NoExitCross_KijunSL_Clamp85,403,44.42,3.90,408.45,4.0845,33.92,8.30,25.86,0.1193,4.17,21.05,2.3950,Yes,0.85
PT2-3_SL25_TS15@1.5_NoExitCross_KijunSL_Clamp80,403,44.91,3.89,405.85,4.0585,35.33,8.70,26.26,0.1165,4.38,21.27,2.3533,Yes,0.8
PT1.5_SL20_TS15@1.5_NoExitCross_KijunSL_Clamp85,403,44.67,3.84,402.69,4.0269,32.79,8.14,25.33,0.1195,4.08,21.19,2.4086,Yes,0.85
PT2_SL25_TS15@1.5_NoExitCross_KijunSL_NoClamp,403,44.91,3.86,396.70,3.9670,34.75,8.76,27.63,0.1074,4.55,21.26,2.2176,No,0.8
PT1.5-2_SL20_TS15@1.5_NoExitCross_KijunSL_Clamp85,403,44.67,3.76,391.28,3.9128,32.04,8.19,24.39,0.1194,4.08,21.19,2.4467,Yes,0.85
PT2_SL20_TS15@1.5_NoExitCross_KijunSL_NoClamp,403,44.67,3.82,390.26,3.9026,33.98,8.70,27.34,0.1062,4.43,21.17,2.2164,No,0.8
PT2_SL20_TS15@1.5_NoExitCross_KijunSL_Clamp80,403,44.67,3.82,390.26,3.9026,33.98,8.70,27.34,0.1062,4.43,21.17,2.2164,Yes,0.8
PT1.5_SL15_TS15@1.5_NoExitCross_KijunSL_NoClamp,403,44.42,3.71,382.16,3.8216,31.22,8.17,25.36,0.1113,4.17,21.05,2.3217,No,0.8
PT1.5_SL15_TS15@1.5_NoExitCross_KijunSL_Clamp80,403,44.42,3.71,382.16,3.8216,31.22,8.17,25.36,0.1113,4.17,21.05,2.3217,Yes,0.8
PT1.5_SL15_TS15@1.5_NoExitCross_KijunSL_Clamp85,403,44.42,3.71,382.16,3.8216,31.22,8.17,25.36,0.1113,4.17,21.05,2.3217,Yes,0.85
PT2-3_SL25_TS15@1.5_NoExitCross_KijunSL_NoClamp,403,44.91,3.73,379.68,3.7968,33.26,8.76,26.42,0.1058,4.55,21.26,2.2394,No,0.8
PT1.5_SL25_TS15@1.5_NoExitCross_KijunSL_Clamp80,403,44.91,3.68,377.13,3.7713,32.29,8.56,25.73,0.1077,4.38,21.27,2.2722,Yes,0.8
PT2-3_SL20_TS15@1.5_NoExitCross_KijunSL_NoClamp,403,44.67,3.68,373.55,3.7355,32.52,8.70,26.11,0.1048,4.43,21.17,2.2396,No,0.8
PT2-3_SL20_TS15@1.5_NoExitCross_KijunSL_Clamp80,403,44.67,3.68,373.55,3.7355,32.52,8.70,26.11,0.1048,4.43,21.17,2.2396,Yes,0.8
PT1.5-2_SL15_TS15@1.5_NoExitCross_KijunSL_NoClamp,403,44.42,3.63,371.33,3.7133,30.50,8.21,24.43,0.1111,4.17,21.05,2.3563,No,0.8
PT1.5-2_SL15_TS15@1.5_NoExitCross_KijunSL_Clamp80,403,44.42,3.63,371.33,3.7133,30.50,8.21,24.43,0.1111,4.17,21.05,2.3563,Yes,0.8
PT1.5-2_SL15_TS15@1.5_NoExitCross_KijunSL_Clamp85,403,44.42,3.63,371.33,3.7133,30.50,8.21,24.43,0.1111,4.17,21.05,2.3563,Yes,0.85
PT1.5-2_SL25_TS15@1.5_NoExitCross_KijunSL_Clamp80,403,44.91,3.61,367.24,3.6724,31.62,8.61,24.82,0.1077,4.38,21.27,2.3058,Yes,0.8
PT1.5_SL25_TS20@2_NoExitCross_KijunSL_Clamp85,403,44.91,3.58,366.31,3.6631,30.78,8.40,24.29,0.1096,4.04,21.29,2.3376,Yes,0.85
