Trade#,TokenAddress,TokenSymbol,TokenName,Chain,Caller,AlertTime,EntryPrice,ExitPrice,PnL_Multiplier,PnL_Percent,Max_Multiplier_Reached,HoldDuration_Minutes,TimeToAth_Minutes,CandlesCount
18,HHM5XfhBa3Arm6xvRqH2jHVJCFWmVBTYjUbf9wKJbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-19T10:42:00.000Z,0.00024940,0.00014964,0.6000,-40.00,1.9547,10035,70,468
19,BDWvvvKUS9c3C4Rz1w9tk5uD519CzD2f6n7zBk2Bbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-19T13:12:35.000Z,0.00022818,0.00103826,4.5501,355.01,19.5360,10065,2985,234
20,5oEvz32agtuQoh5n2JtVbPPmRcN3zHWvX5WW85bebonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-19T13:16:28.000Z,0.00000733,0.00000529,0.7217,-27.83,1.2908,10060,0,234
21,4F6ELbjNxSHF7e23i9iKM9YcaPF4HuvFGhGPrQwWEUse,UNKNOWN,Unknown Token,solana,Unknown,2025-07-19T16:00:45.000Z,0.00001620,0.00000972,0.6000,-40.00,1.8362,10075,80,234
22,7jcqkQwbo2ADH8iM8H6L851P2WC9eh2K4Wn1dSZBbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-19T16:00:53.000Z,0.00008468,0.00005081,0.6000,-40.00,1.8383,10075,5,234
23,DRTxSx7s5WQxa1t7u6uHtqjnEKqS6Na8ZoCPoLc4bonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-19T17:15:21.000Z,0.00000544,0.00000591,1.0871,8.71,5.5634,10060,1240,702
24,23JSJx2yZQwkeCHCGgeAyZGhacMsinY4n32c5GnPbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-19T17:17:22.000Z,0.00002715,0.00001629,0.6000,-40.00,1.2702,10060,10,234
25,4Qtz3GigvxHYpHCMVAo4mYpWJYk8jfBr8RPVcysAbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-19T19:27:48.000Z,0.00014119,0.00014401,1.0200,2.00,2.1450,10050,0,234
26,LarJmR9bQNUGUNPWaQ2tb6KrBT5DYMtpuuL9W7ELg5w,UNKNOWN,Unknown Token,solana,Unknown,2025-07-20T12:56:43.000Z,0.00003296,0.00003362,1.0200,2.00,3.1979,10020,115,234
27,8r6zFTaNdcA9E9tuSM6Hd2AoEpGst58cCk7nGxMVbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-20T16:08:04.000Z,0.00004797,0.00004893,1.0200,2.00,2.5375,10070,0,468
28,3KXNxQiy4mR8byT3H8RBeECUj4TtHxGUn393c47Dbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-20T17:13:52.000Z,0.00003332,0.00001999,0.6000,-40.00,1.1205,10065,0,234
29,HKZQxDqqw1U7MmzEcjc4JocEnZJ75nBKudcKs8xgbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-20T20:08:04.000Z,0.00012869,0.00013126,1.0200,2.00,3.2400,10070,190,468
30,HjsZ73QxNbXoUnyXXffoXn6kHUKQqdy6GXd4J1N4shot,UNKNOWN,Unknown Token,solana,Unknown,2025-07-20T21:08:14.000Z,0.00167487,0.00100492,0.6000,-40.00,1.7532,10070,1070,1157
31,2kkwPP6Y5v4aSteLo2R6uqmx3aQ6Veb1xDcRXHsNbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-21T01:57:10.000Z,0.00145368,0.00087221,0.6000,-40.00,1.9316,10020,35,234
32,8MxjSs3kEPmfiqKN1S4o3PABp198uYyx4gLF1TvZbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-21T07:38:33.000Z,0.00023403,0.00038668,1.6522,65.22,11.5719,10040,860,234
33,3LBDmVsUMY4XF82kVruJxrZqLnhUBFqanMdn5ifCbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-21T07:43:00.000Z,0.00004371,0.00004459,1.0200,2.00,4.4082,10035,165,702
34,9tqjeRS1swj36Ee5C1iGiwAxjQJNGAVCzaTLwFY8bonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-21T10:37:16.000Z,0.04621974,0.04454724,0.9638,-3.62,1.9384,10040,2540,702
35,3UofsdJQyTe8PF3HMUR8KEB13wtwGkk4qyAhgLCgbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-21T10:49:56.000Z,0.00017193,0.00018939,1.1015,10.15,5.6345,10030,1150,468
36,FgWbv7DCwnjkPZF8AXgbqbUGtVbGQLmXyUhWjZYvbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-21T11:24:44.000Z,0.00001135,0.00001158,1.0200,2.00,2.2467,10055,10,234
37,2B56n4oJvzj2D485MPYWNCBnVHvTaLPBah96CuU8bonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-21T12:01:24.000Z,0.00161063,0.00164284,1.0200,2.00,4.2161,10075,30,468
38,FaYm6bGufYUrEMq8gbgx92BSA1bfGSr1xdk5LY2sbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-21T12:47:32.000Z,0.00002283,0.00004399,1.9264,92.64,3.4800,10030,5050,234
39,FgBfWX2HwQigtEsoijKMKT9YN584VR1U9TMxYhNabonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-21T14:02:02.000Z,0.00007634,0.00004581,0.6000,-40.00,1.2042,10075,0,234
40,2Pqk7MiMcQWEbXRLz8WPDF3tFkKuumobn7B69i3uEeTe,UNKNOWN,Unknown Token,solana,Unknown,2025-07-21T15:12:53.000Z,0.00002808,0.00002864,1.0200,2.00,5.5523,10065,85,234
41,GxNGdYcXRFSuPJrVsSLgcavKE1E8Jptqvxz4ZR3tbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-21T15:48:39.000Z,0.00017724,0.00010635,0.6000,-40.00,1.7055,10030,1150,232
42,2rKy3iZUZYnAXLah4CujUhSJsh1PocHKKUULfZyubonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-21T15:54:37.000Z,0.00024762,0.00025258,1.0200,2.00,2.2221,10025,0,234
43,6nz8p3Mzw4q4rhHZFbaLAqGv48Ab2PRPSYW1o8YHbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-21T16:55:58.000Z,0.00417083,0.00615930,1.4768,47.68,1.6183,10020,9900,702
44,HLfxwuGwRBvjnJibQ4TGgaFv7mdibhLihkMK8NRXbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-21T18:26:46.000Z,0.00004792,0.00002875,0.6000,-40.00,1.1204,10050,10,234
45,GJU3bXxNkNtYxgjkoFhAdq7VrXJAB2GW4Cpt6kLcbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-21T18:33:29.000Z,0.00039606,0.00023997,0.6059,-39.41,1.3364,10045,6985,234
46,G85CQEBqwsoe3qkb5oXXpdZFh7uhYXhDRsQAM4aJuBLV,UNKNOWN,Unknown Token,solana,Unknown,2025-07-21T20:13:54.000Z,0.00758569,0.00768462,1.0130,1.30,1.6076,10065,1125,468
47,G6kPdKoUjmXkXq6Skuon1mg77q4E3YXuUGjgadXL4pQt,UNKNOWN,Unknown Token,solana,Unknown,2025-07-22T07:55:13.000Z,0.00002356,0.00001414,0.6000,-40.00,1.2644,10020,15,468
48,4daoTLufDmV3ods48Zh8rymaZKBLtgEvuH9qALYLbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-22T07:56:06.000Z,0.01844941,0.03368140,1.8256,82.56,3.1157,10020,4620,168
49,6S3nudT5wn6RNmnY1pXLLyJoEMM53HF5tg6Baqrmbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-22T08:00:00.000Z,0.00002340,0.00001404,0.6000,-40.00,1.4205,10080,600,472
50,VQNbJfi4kYaT1bCUHwwviJiYcoDh4rYpUZHHzwFbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-22T11:58:16.000Z,0.00048508,0.00029105,0.6000,-40.00,1.2382,10020,30,468
51,CcGQdk3tX9Xxpz4BUy59Fi6dCPzA4uT5nRgtVza4bonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-22T13:25:19.000Z,0.00014471,0.00008683,0.6000,-40.00,1.9461,10050,0,234
52,3MrwYcAvGNNtMcHwscSqFQJ3qhMpKwxZCbprYrz1RYWi,UNKNOWN,Unknown Token,solana,Unknown,2025-07-22T16:35:54.000Z,0.00062566,0.00063817,1.0200,2.00,3.2771,10040,1160,468
53,CfVs3waH2Z9TM397qSkaipTDhA9wWgtt8UchZKfwkYiu,UNKNOWN,Unknown Token,solana,Unknown,2025-07-22T20:31:48.000Z,0.01038517,0.00623110,0.6000,-40.00,1.2735,10045,20,468
54,GPbVkH7bmxuwM8vKsWVYJ4rW7ErwsNwRoBGho16Sbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-22T21:33:04.000Z,0.00292253,0.00175352,0.6000,-40.00,1.8948,10045,310,936
55,HQtGjp135TNUdC4p5ciDDY8wzoBatn1w7zUo3hs9bonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-22T22:03:55.000Z,0.00011788,0.00007073,0.6000,-40.00,1.5261,10075,535,702
56,GxzvWxCzNN3MTEZzTRx7RnP3yg4dmD8Ez8Ssu8wSbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-23T01:25:30.000Z,0.00073119,0.00148761,2.0345,103.45,4.7395,10050,870,936
57,CQkgAQg5qCor8UMee5s8SzGkpjoYxCxrNzUuhwAnbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-23T09:29:31.000Z,0.00154132,0.00092479,0.6000,-40.00,1.1096,10050,30,234
58,wq4n4P5XM8zzHLW12r7Q7oLHzWBFo5x1vtatHoYbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-23T10:11:24.000Z,0.00037582,0.00022549,0.6000,-40.00,1.3815,10065,185,702
59,4CG16Qpsy78ymFE7K7DV4kzh5j8aYqhhAskkX2sfbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-23T10:12:40.000Z,0.00008964,0.00005378,0.6000,-40.00,1.4496,10065,5,702
60,CCk7zxbYt3zMLybZ2Civw6r4H9ZSiLts3HNmLcdvbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-23T11:12:33.000Z,0.00031808,0.00032444,1.0200,2.00,3.2571,10065,405,396
61,6RZJS2fgFrJmS7yhD6GY2STaEZP9PpKZfXuwZttCbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-23T13:56:05.000Z,0.00002094,0.00001257,0.6000,-40.00,1.7908,10020,0,234
62,D9JXMRovgX9hyCAqkQZTvj5Pr3rgZkNCFw8vfhxabonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-23T14:58:31.000Z,0.00047526,0.00048476,1.0200,2.00,2.2713,10020,10,468
63,ECesgiZHYtJuGjTib64CdEhWfNr9qKUrkFT6MNsfbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-23T19:41:03.000Z,0.00066921,0.00040152,0.6000,-40.00,1.1178,10035,5,234
64,cyMRy2qBFbv6r6epi5TFiWuwANP46bH56iY42zdbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-23T21:43:07.000Z,0.00037140,0.00022284,0.6000,-40.00,1.1917,10035,5,212
65,82KE946ifcZKs5dwTtpX6Mp8bXHCHVncRmKVxmQZbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-23T21:56:09.000Z,0.00022648,0.00013589,0.6000,-40.00,1.6138,10020,5,234
66,GpsVBKgcB1DnMa4CZeNF9AtnwwFi9jC383Wwn8mKpump,UNKNOWN,Unknown Token,solana,Unknown,2025-07-24T00:45:19.000Z,0.00001237,0.00001262,1.0200,2.00,3.4757,10030,0,468
67,HCgfbJgePTaAXDpYgAwEkA6WHoY4MAHUnR5suLBubonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-24T07:53:08.000Z,0.00002334,0.00001400,0.6000,-40.00,1.6435,10025,110,468
68,ED1aS2Fr55KMUk8KkH58kK3EJyYz3yZtkVqs4Ysbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-24T09:57:08.000Z,0.00010765,0.00006459,0.6000,-40.00,1.1818,10020,5,702
69,7ZC4BjM92HboXQPi39ehiueJ8CuDJQxPVMuZtzshbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-24T10:12:08.000Z,0.00021784,0.00022220,1.0200,2.00,5.0008,10065,20,234
70,y31hFyYbrVW4R53Zfka8WJfQpwpMLfCcAjVKAonpump,UNKNOWN,Unknown Token,solana,Unknown,2025-07-24T11:25:57.000Z,0.00041405,0.00024843,0.6000,-40.00,1.1151,10050,60,702
71,8BMWG24WUuT3WgeYJAoazWqYscLyi4gB5WdxE1vubonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-24T12:29:31.000Z,0.00000579,0.00000538,0.9285,-7.15,1.0345,10050,0,466
72,3UzkMymHpqDijXYaGsz8Vbc1Vk4tKBED5TDT9v6Hbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-24T14:51:57.000Z,0.00118699,0.00071220,0.6000,-40.00,1.7667,10025,3785,1170
73,Zpfordmuv63pF88jmvKGZ3whsCEX2FJYj22yxsPbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-24T16:45:44.000Z,0.00001073,0.00000644,0.6000,-40.00,1.7514,10030,10,234
74,JDEG8LsXfadWiptpYATfs372Jh1ZkPKWFcAo1Jz9pump,UNKNOWN,Unknown Token,solana,Unknown,2025-07-24T16:46:39.000Z,0.00007048,0.00004229,0.6000,-40.00,1.9837,10030,50,468
75,EtZFFYibEKAQbR4UB1VoQFscpkTYxbMdB1bssbAybonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-24T18:02:56.000Z,0.00042105,0.00042947,1.0200,2.00,2.9075,10075,1195,234
76,5MU4Fm65xmn19D5a1bmTruzvKZbeX9EQsU2EeEEFbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-24T23:04:08.000Z,0.00001595,0.00001627,1.0200,2.00,13.9395,10075,65,468
77,Ey3fqTdSfQHGNqhcp5L11qSXT7QS69Lg6bqcNyPypump,UNKNOWN,Unknown Token,solana,Unknown,2025-07-25T01:21:36.000Z,0.00003250,0.00001950,0.6000,-40.00,1.9582,10055,2555,234
78,Bk6oLMgBNGJKFCCELjjydMqQ1igunsS7y1ZpDDzGbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-25T11:09:41.000Z,0.00013378,0.00018109,1.3537,35.37,3.9457,10070,3950,468
79,6hNY5ucPXHwECo5UmVvLgBQEZrqNUbTNi7jMfm8dbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-25T16:11:33.000Z,0.00007038,0.00004223,0.6000,-40.00,1.7669,10065,5,232
80,8qN8FPrgsenu9MJM9BC8vUqr6BLoH2GAsd2TYVbXbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-25T18:23:54.000Z,0.00008990,0.00009169,1.0200,2.00,4.4289,10055,0,234
81,ErgAfNEtv1SpjG5q1T7dmooSqr7kt7wAfNqZq8azbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-26T04:03:02.000Z,0.00026256,0.00015754,0.6000,-40.00,1.0416,10075,5,234
82,CdGiAfaiyBvyB4ScW7qVHySpMtk8VSvwBb6GoiMRbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-26T09:51:05.000Z,0.00023406,0.00014044,0.6000,-40.00,1.5483,10025,195,702
83,9A6AHy9wDL5T77wfWdWRbSmpfzE8Te7z1VXSPD5Ybonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-26T15:32:31.000Z,0.00001726,0.00001761,1.0200,2.00,11.4560,10045,355,234
84,3hrGWXzgQzAikcG6rerG45tK7KLYw2dZ84owWJ14bonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-26T19:06:11.000Z,0.00068526,0.00069897,1.0200,2.00,2.0259,10070,325,1404
85,HY9af7cfvWjyWVxc6mUcqVt4be1NWk2TawjwuSbujups,UNKNOWN,Unknown Token,solana,Unknown,2025-07-26T20:30:08.000Z,0.00083525,0.00050115,0.6000,-40.00,1.2854,10045,865,1170
86,F8YiEaC9qyKPEtLQK1Yi5QZazsYgNWn8JD83Dh4Mbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-27T02:12:56.000Z,0.00029738,0.00017843,0.6000,-40.00,1.0729,10065,5,468
87,2RKZuckB4kwvKEFhSCBa57DU9oWdtRcF5dgyb6N9jups,UNKNOWN,Unknown Token,solana,Unknown,2025-07-27T13:28:15.000Z,0.00114776,0.00140508,1.2242,22.42,2.7849,10050,1170,234
88,BW8ejBnHKPGBZsQN6aoGdR83Vccrw41KD34ph3nfbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-27T19:04:15.000Z,0.00041881,0.00042718,1.0200,2.00,2.0024,10075,270,234
89,5BuqrxLTaWpazYKrh4dz1mCiMNj4WCHiU8ZKnoEDjups,UNKNOWN,Unknown Token,solana,Unknown,2025-07-27T19:32:00.000Z,0.01236483,0.00741890,0.6000,-40.00,1.0993,10045,0,702
90,2uaTpSujZBYwBZNXusmW7PqM8Vi4qwbyotnfWhaN9oT9,UNKNOWN,Unknown Token,solana,Unknown,2025-07-28T00:28:59.000Z,0.00357193,0.00364337,1.0200,2.00,2.2559,10050,40,936
91,7PagSBusvxQ252fuBFnhipMZwd4T4jGikLeuwrDibonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-28T06:46:27.000Z,0.00532632,0.00319579,0.6000,-40.00,1.8556,10030,1090,936
92,yaFH5SUG6XTY2UAXSvGXfRPphNXbLjHR6QSad7Tbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-28T07:20:20.000Z,0.00013588,0.00008153,0.6000,-40.00,1.7702,10055,45,234
93,Ga5GipNAgM4MHNEC5nuyU5Xb44CZpsj9sAPmrLRsjups,UNKNOWN,Unknown Token,solana,Unknown,2025-07-28T07:32:19.000Z,0.00006664,0.00003999,0.6000,-40.00,1.2099,10045,15,234
94,Hio3BG49VvoRwFqgg4avYpwewLvNrVZn78P3w5Jwbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-28T07:32:27.000Z,0.00003262,0.00001957,0.6000,-40.00,1.0536,10045,0,234
95,9AfZdS6orGRi6ey4mMwyRnU2yZ6SzMZxcpMroE4rjups,UNKNOWN,Unknown Token,solana,Unknown,2025-07-28T07:39:54.000Z,0.00066678,0.00040007,0.6000,-40.00,1.3766,10040,5,468
96,CC8YJdj9Xfsuf2ponErWK89fw6kG3ws1pVageHScbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-28T08:39:41.000Z,0.00075041,0.00045025,0.6000,-40.00,1.3446,10040,800,234
97,917jV93qWYvMh3Mgj2iX1tHa5JEkicgxYqa5Eneqbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-28T10:52:34.000Z,0.00014967,0.00015266,1.0200,2.00,3.4186,10025,80,936
98,4VFUDyXgoV9cK4Br7BkuLuP9uJMT7SxySY7zvx3Cbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-28T14:08:58.000Z,0.00003796,0.00002277,0.6000,-40.00,1.8353,10070,470,468
99,dgU3DSSTFyHx4j5MKx94V3BB6jMse7EQpGDi6zUuULt,UNKNOWN,Unknown Token,solana,Unknown,2025-07-28T16:06:47.000Z,0.00105325,0.00107432,1.0200,2.00,2.5047,10070,50,971
100,6iXTt8Cvec1JAWLwLMYwQhkuHZk9mJ9KLYBFLWaKtech,UNKNOWN,Unknown Token,solana,Unknown,2025-07-28T16:17:28.000Z,0.00033315,0.00019989,0.6000,-40.00,1.5757,10060,260,234
101,YbmGAxyUUg9A1Zs4epFXnuAXvFHQJXHFfapcwMvbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-28T17:39:35.000Z,0.00000405,0.00000323,0.7982,-20.18,1.1408,10040,0,234
102,A8b6B5PxDkhD9JNrPg25fbtALMvme8B1JvoJkYfCbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-28T17:44:33.000Z,0.00032836,0.00019702,0.6000,-40.00,1.5312,10035,85,468
103,2DSFvQtdoqv7DjPgXL5tjTYJ3ABBnoBeTfAJTXNdbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-28T20:27:49.000Z,0.00105637,0.00063382,0.6000,-40.00,1.2329,10050,250,234
104,0x338ede32eF54b28a9a755D07144b4a7061DD4444,UNKNOWN,Unknown Token,bsc,Unknown,2025-07-29T06:15:09.000Z,0.00018894,0.00019272,1.0200,2.00,8.1996,10060,580,234
105,GV6yc4NBPYAMzNGo1SiiUF6DqzBYryCuynVCYh2ebonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-29T10:37:30.000Z,0.00009810,0.00005886,0.6000,-40.00,1.2696,10040,5,468
106,84etRemjE51D9zeTB3n1FmxAa8JnTiNy1D3Swi9bbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-29T13:24:20.000Z,0.00004585,0.00002751,0.6000,-40.00,1.0041,10055,5,234
107,BSojgEsXyvHfjZM9Uc4KuELrDqXauHZzrw8oeaZHbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-29T13:27:52.000Z,0.00008104,0.00004862,0.6000,-40.00,1.2610,10050,0,468
108,ADSkaYVeTYazX77JypE7HEvRdx1QZVAo3whhCACjjups,UNKNOWN,Unknown Token,solana,Unknown,2025-07-29T14:30:17.000Z,0.00458446,0.00275067,0.6000,-40.00,1.2675,10045,1765,234
109,7nVqEn9XabTLVs8q1xrZ2nC9bUEtAkSnGomkoNvdpump,UNKNOWN,Unknown Token,solana,Unknown,2025-07-29T14:46:03.000Z,0.00030658,0.00032536,1.0612,6.12,2.9534,10030,225,468
110,2Eum1vuyeAeXnbYNwkG2tgm2gJgMf6TRyuur1P2Rbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-29T16:47:32.000Z,0.00016535,0.00009921,0.6000,-40.00,1.6255,10030,90,234
111,GzghsfUvHfPg2newju5kxzBeYsZw9yxmfZ8vSmsjbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-29T21:14:03.000Z,0.00016130,0.00009678,0.6000,-40.00,1.4798,10065,15,468
112,Gn4CxKzRUQ7tu4o7YzVEsSdzr5Mfn6CcrGSCeywqwave,UNKNOWN,Unknown Token,solana,Unknown,2025-07-29T23:41:02.000Z,0.00022400,0.00023879,1.0660,6.60,2.1655,10035,3855,234
113,k5AMg1yUxaYTNXpVDpkrVn8VSgBe9K4t1pQYVCzbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-30T06:23:00.000Z,0.00031986,0.00032625,1.0200,2.00,3.3668,10055,140,234
114,DGKj2gcKkrYnJYLGN89d1yStpx7r6yPkR166opx2bonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-30T06:25:23.000Z,0.00242434,0.00313035,1.2912,29.12,3.2898,10050,3990,468
115,FBQZyWrCs4LJPb1HL6XiE3HVaEE9oszeNJPBa6sLbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-30T08:52:22.000Z,0.00025262,0.00015157,0.6000,-40.00,1.9563,10025,35,1404
116,AUondHfWHCZwDq7cFv2nC3uEbToUcAKd54cHzxedbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-30T09:49:37.000Z,0.00002980,0.00003039,1.0200,2.00,3.2762,10030,0,234
