Caller,TotalCalls,UniqueTokens,TotalTrades,WinRate,WinningTrades,LosingTrades,AvgPnlPerTrade,InitialPortfolio,FinalPortfolio_Reinvestment,TotalReturn_Reinvestment,FinalPortfolio_NoReinvestment,TotalReturn_NoReinvestment,MaxDrawdown_Reinvestment,MaxDrawdown_NoReinvestment,StdDevReturns,DaysActive,DailyTWR,WeeklyTWR,AnnualTWR_Theoretical,AnnualTWR_Realistic,CalmarRatio,RiskAdjustedScore,AvgPerTradeMaxDrawdown,MaxPerTradeMaxDrawdown,AvgRiskRatio,MedianRiskRatio
Gidion,7,5,3,66.67,2,1,1.66,100,100.49,0.49,100.5,0.5,1.13,0,1.29,30.79,0.02,0.11,6.02,0,0,0.01,0,0,0,0
Checkma1e ♟️,1,1,1,100,1,0,4.17,100,100.42,0.42,100.42,0.42,0,0,0,1,0.42,2.96,357.41,0,0,0,0,0,0,0
soru,8,5,3,33.33,1,2,1.3,100,100.39,0.39,100.39,0.39,0.6,0,0.75,3.42,0.11,0.8,51.23,0,0,0.15,0,0,0,0
MITCHI | RDGN,3,2,2,50,1,1,1.86,100,100.35,0.35,100.37,0.37,1.73,0,2.72,10.08,0.03,0.24,13.61,0,0,0.01,0,0,0,0
"S""atoshis'sun Sa",1,1,1,100,1,0,2.58,100,100.26,0.26,100.26,0.26,0,0,0,1,0.26,1.82,156.28,0,0,0,0,0,0,0
Italian Hunter🐊 ~ 法雷利 ~ 🔥,4,4,4,75,3,1,0.44,100,100.18,0.18,100.18,0.18,0.29,0,0.24,18.04,0.01,0.07,3.65,0,0,0.04,0,0,0,0
Simple | MAXI,4,4,2,50,1,1,0.86,100,100.17,0.17,100.17,0.17,0,0,0.12,6.88,0.03,0.18,9.56,0,0,0.21,0,0,0,0
Joe,1,1,1,100,1,0,1.21,100,100.12,0.12,100.12,0.12,0,0,0,1,0.12,0.85,55.72,0,0,0,0,0,0,0
Bishop (Slow DMs),1,1,1,100,1,0,0.54,100,100.05,0.05,100.05,0.05,0,0,0,1,0.05,0.38,21.86,0,0,0,0,0,0,0
Phillip (PhillipsCalls)🇦🇪,1,1,1,100,1,0,0.34,100,100.03,0.03,100.03,0.03,0,0,0,1,0.03,0.24,13.34,0,0,0,0,0,0,0
fred,2,2,1,100,1,0,0.28,100,100.03,0.03,100.03,0.03,0,0,0,1,0.03,0.2,10.81,0,0,0,0,0,0,0
Felix,1,1,1,0,0,1,0,100,100,0,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TrenchRadar Scanner,1,1,1,0,0,1,0,100,100,0,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Khing👑 | @khingcallsgem,2,2,2,50,1,1,-0.18,100,99.96,-0.04,99.96,-0.04,0.17,0,0.21,8.88,0,-0.03,-1.47,0,0,-0.02,0,0,0,0
