TradeNumber,AlertTime,PnL,PositionSize,TradeReturn,PortfolioBefore,PortfolioAfter,MovingAvgPortfolio
97,2025-09-10T16:51:08.000Z,0.815091,13.83,-2.56,132.76,130.20,138.28
98,2025-09-10T17:59:59.000Z,0.850006,13.73,-2.06,130.20,128.14,137.32
99,2025-09-10T19:20:50.000Z,0.917194,13.63,-1.13,128.14,127.01,136.26
100,2025-09-11T00:43:49.000Z,0.925885,13.50,-1.00,127.01,126.01,135.01
101,2025-09-11T11:44:19.000Z,1.211598,13.35,2.82,126.01,128.84,133.49
102,2025-09-12T13:11:06.000Z,1.026367,13.23,0.35,128.84,129.19,132.33
103,2025-09-12T13:29:18.000Z,0.974837,13.14,-0.33,129.19,128.86,131.42
104,2025-09-12T14:13:51.000Z,0.800000,13.05,-2.61,128.86,126.25,130.49
105,2025-09-13T16:09:57.000Z,0.991763,12.93,-0.11,126.25,126.14,129.28
106,2025-09-13T18:37:01.000Z,0.892736,12.83,-1.38,126.14,124.76,128.34
107,2025-09-13T19:33:47.000Z,0.999380,12.75,-0.01,124.76,124.75,127.54
108,2025-09-13T22:09:14.000Z,0.801569,12.70,-2.52,124.75,122.23,127.00
109,2025-09-13T22:10:27.000Z,1.320848,12.64,4.06,122.23,126.29,126.40
110,2025-09-14T00:58:36.000Z,1.000976,12.63,0.01,126.29,126.30,126.33
111,2025-09-14T08:17:17.000Z,0.800000,12.64,-2.53,126.30,123.78,126.36
112,2025-09-14T15:25:43.000Z,0.807574,12.59,-2.42,123.78,121.35,125.85
113,2025-09-14T17:07:25.000Z,1.003316,12.51,0.04,121.35,121.40,125.07
114,2025-09-14T21:53:15.000Z,1.002117,12.43,0.03,121.40,121.42,124.33
115,2025-09-14T23:52:36.000Z,1.004128,12.38,0.05,121.42,121.47,123.84
116,2025-09-16T12:27:42.000Z,1.002923,12.34,0.04,121.47,121.51,123.38
117,2025-09-17T11:29:10.000Z,1.001581,12.31,0.02,121.51,121.53,123.05
118,2025-09-18T13:14:21.000Z,0.817024,12.27,-2.25,121.53,119.28,122.73
119,2025-09-18T17:18:47.000Z,1.197412,12.24,2.42,119.28,121.70,122.43
120,2025-09-18T22:17:10.000Z,1.426896,12.20,5.21,121.70,126.91,121.97
121,2025-09-19T22:03:23.000Z,0.967444,12.20,-0.40,126.91,126.51,122.03
122,2025-09-24T00:39:05.000Z,0.800000,12.23,-2.45,126.51,124.06,122.31
123,2025-09-24T13:57:19.000Z,0.961777,12.26,-0.47,124.06,123.59,122.58
124,2025-09-24T21:26:50.000Z,1.000000,12.28,0.00,123.59,123.59,122.80
125,2025-09-24T23:40:05.000Z,0.964820,12.30,-0.43,123.59,123.16,123.02
126,2025-09-26T19:01:44.000Z,0.800000,12.32,-2.46,123.16,120.70,123.19
127,2025-09-27T13:20:19.000Z,1.007348,12.31,0.09,120.70,120.79,123.10
128,2025-09-27T16:01:48.000Z,1.048083,12.30,0.59,120.79,121.38,123.03
129,2025-09-29T18:05:28.000Z,0.893732,12.32,-1.31,121.38,120.07,123.24
130,2025-09-29T20:56:06.000Z,0.940398,12.31,-0.73,120.07,119.34,123.08
131,2025-09-30T14:00:52.000Z,1.051835,12.23,0.63,119.34,119.97,122.32
132,2025-10-01T06:55:13.000Z,0.832959,12.17,-2.03,119.97,117.94,121.67
133,2025-10-01T10:01:28.000Z,0.952040,12.11,-0.58,117.94,117.36,121.05
134,2025-10-02T16:10:49.000Z,1.191829,12.04,2.31,117.36,119.67,120.43
135,2025-10-02T20:24:16.000Z,0.951194,12.00,-0.59,119.67,119.08,120.04
136,2025-10-02T20:24:27.000Z,1.044756,11.96,0.54,119.08,119.62,119.63
137,2025-10-02T20:45:19.000Z,1.056444,11.95,0.67,119.62,120.29,119.52
138,2025-10-03T13:54:13.000Z,1.000000,11.95,0.00,120.29,120.29,119.47
139,2025-10-03T23:59:26.000Z,0.971476,11.94,-0.34,120.29,119.95,119.36
140,2025-10-04T11:52:31.000Z,1.945513,11.94,11.28,119.95,131.24,119.35
141,2025-10-04T13:37:31.000Z,0.879607,12.05,-1.45,131.24,129.79,120.54
142,2025-10-04T16:40:56.000Z,1.401803,12.15,4.88,129.79,134.67,121.52
143,2025-10-05T02:52:38.000Z,0.988613,12.32,-0.14,134.67,134.53,123.20
144,2025-10-05T13:24:09.000Z,0.870366,12.49,-1.62,134.53,132.91,124.91
145,2025-10-05T23:24:27.000Z,1.281535,12.62,3.55,132.91,136.46,126.24
146,2025-10-07T00:24:47.000Z,0.823414,12.80,-2.26,136.46,134.20,127.97
147,2025-10-09T17:15:38.000Z,0.800000,12.94,-2.59,134.20,131.61,129.43
148,2025-10-09T20:31:32.000Z,1.037490,13.06,0.49,131.61,132.10,130.57
149,2025-10-09T22:32:49.000Z,1.574547,13.17,7.57,132.10,139.67,131.75
150,2025-10-11T12:26:56.000Z,1.218294,13.37,2.92,139.67,142.59,133.72
151,2025-10-15T14:07:49.000Z,1.033923,13.49,0.46,142.59,143.05,134.85
152,2025-10-15T14:07:56.000Z,0.844757,13.62,-2.11,143.05,140.94,136.18
153,2025-10-16T09:35:49.000Z,0.828164,13.68,-2.35,140.94,138.58,136.81
154,2025-10-16T09:52:06.000Z,1.001153,13.72,0.02,138.58,138.60,137.21
155,2025-10-19T08:46:24.000Z,0.876753,13.78,-1.70,138.60,136.90,137.78
156,2025-10-19T11:47:06.000Z,0.960961,13.78,-0.54,136.90,136.36,137.83
157,2025-10-22T16:36:02.000Z,1.331823,13.80,4.58,136.36,140.95,138.04
158,2025-10-23T00:31:07.000Z,0.948715,13.90,-0.71,140.95,140.23,138.98
159,2025-10-23T19:22:16.000Z,1.018999,13.98,0.27,140.23,140.50,139.79
