table_schema,table_name,ordinal_position,column_name,data_type,is_nullable
baseline,trades_d,7,alert_timestamp_ms,BIGINT,NO
baseline,trades_d,8,entry_timestamp_ms,BIGINT,NO
baseline,trades_d,9,exit_timestamp_ms,BIGINT,YES
baseline,trades_d,10,entry_price,DOUBLE,NO
baseline,trades_d,11,stop_price,DOUBLE,YES
baseline,trades_d,12,exit_price,DOUBLE,YES
baseline,trades_d,13,peak_mult,DOUBLE,YES
baseline,trades_d,14,trough_mult,DOUBLE,YES
baseline,trades_d,15,final_mult,DOUBLE,YES
baseline,trades_d,16,dd_initial,DOUBLE,YES
baseline,trades_d,17,dd_max,DOUBLE,YES
baseline,trades_d,18,dd_pre2x,DOUBLE,YES
baseline,trades_d,19,dd_pre2x_or_horizon,DOUBLE,YES
baseline,trades_d,20,time_to_peak_ms,BIGINT,YES
baseline,trades_d,21,time_to_2x_ms,BIGINT,YES
baseline,trades_d,22,time_to_3x_ms,BIGINT,YES
baseline,trades_d,23,exit_reason,VARCHAR,YES
baseline,trades_d,24,gross_return,DOUBLE,YES
baseline,trades_d,25,net_return,DOUBLE,YES
baseline,trades_d,26,stop_pct,DOUBLE,YES
baseline,trades_d,27,position_pct,DOUBLE,YES
baseline,trades_d,28,planned_risk_pct,DOUBLE,YES
baseline,trades_d,29,realized_loss_pct,DOUBLE,YES
baseline,trades_d,30,portfolio_pnl_pct,DOUBLE,YES
baseline,trades_d,31,r_multiple,DOUBLE,YES
baseline,trades_d,32,hit_2x,BOOLEAN,YES
baseline,trades_d,33,hit_3x,BOOLEAN,YES
baseline,trades_d,34,hit_4x,BOOLEAN,YES
baseline,trades_d,35,is_win,BOOLEAN,YES
bt,alert_outcomes_f,1,scenario_id,VARCHAR,NO
bt,alert_outcomes_f,2,computed_at,TIMESTAMP,YES
bt,alert_outcomes_f,3,entry_price_usd,DOUBLE,YES
bt,alert_outcomes_f,4,entry_ts_ms,BIGINT,YES
bt,alert_outcomes_f,5,ath_multiple,DOUBLE,YES
bt,alert_outcomes_f,6,time_to_2x_s,INTEGER,YES
bt,alert_outcomes_f,7,time_to_3x_s,INTEGER,YES
bt,alert_outcomes_f,8,time_to_4x_s,INTEGER,YES
bt,alert_outcomes_f,9,max_drawdown_pct,DOUBLE,YES
bt,alert_outcomes_f,10,hit_2x,BOOLEAN,YES
bt,alert_outcomes_f,11,candles_seen,INTEGER,YES
bt,alert_outcomes_f,12,tp_sl_exit_reason,VARCHAR,YES
bt,alert_outcomes_f,13,tp_sl_ret,DOUBLE,YES
bt,alert_outcomes_f,14,details_json,VARCHAR,YES
bt,alert_scenarios_d,1,scenario_id,VARCHAR,NO
bt,alert_scenarios_d,2,created_at,TIMESTAMP,YES
bt,alert_scenarios_d,3,run_id,VARCHAR,YES
bt,alert_scenarios_d,4,alert_id,BIGINT,YES
bt,alert_scenarios_d,5,mint,VARCHAR,YES
bt,alert_scenarios_d,6,alert_ts_ms,BIGINT,YES
bt,alert_scenarios_d,7,entry_ts_ms,BIGINT,YES
bt,alert_scenarios_d,8,end_ts_ms,BIGINT,YES
bt,alert_scenarios_d,9,interval_seconds,INTEGER,YES
bt,alert_scenarios_d,10,eval_window_s,INTEGER,YES
bt,alert_scenarios_d,11,caller_name,VARCHAR,YES
bt,alert_scenarios_d,12,scenario_json,VARCHAR,YES
bt,metrics_f,1,run_id,VARCHAR,YES
bt,metrics_f,2,metric_name,VARCHAR,YES
bt,metrics_f,3,metric_value,DOUBLE,YES
bt,metrics_f,4,computed_at,TIMESTAMP,YES
bt,runs_d,1,run_id,VARCHAR,NO
bt,runs_d,2,created_at,TIMESTAMP,YES
bt,runs_d,3,run_name,VARCHAR,YES
bt,runs_d,4,strategy_name,VARCHAR,YES
bt,runs_d,5,strategy_version,VARCHAR,YES
bt,runs_d,6,candle_interval_s,INTEGER,YES
bt,runs_d,7,window_from_ts_ms,BIGINT,YES
bt,runs_d,8,window_to_ts_ms,BIGINT,YES
bt,runs_d,9,entry_rule,VARCHAR,YES
bt,runs_d,10,exit_rule,VARCHAR,YES
bt,runs_d,11,config_json,VARCHAR,YES
bt,runs_d,12,notes,VARCHAR,YES
canon,alert_bot_links,1,alert_chat_id,BIGINT,YES
canon,alert_bot_links,2,alert_message_id,BIGINT,YES
canon,alert_bot_links,3,bot_message_id,BIGINT,YES
canon,alert_bot_links,4,bot_ts_ms,BIGINT,YES
canon,alert_bot_links,5,bot_name,VARCHAR,YES
canon,alert_bot_links,6,run_id,VARCHAR,YES
canon,alert_bot_links,7,ingested_at,TIMESTAMP,YES
canon,alert_bot_links_1,1,alert_chat_id,BIGINT,YES
canon,alert_bot_links_1,2,alert_message_id,BIGINT,YES
canon,alert_bot_links_1,3,bot_message_id,BIGINT,YES
canon,alert_bot_links_1,4,bot_ts_ms,BIGINT,YES
canon,alert_bot_links_1,5,bot_name,VARCHAR,YES
canon,alert_bot_links_1,6,run_id,VARCHAR,YES
canon,alert_bot_links_1,7,ingested_at,TIMESTAMP,YES
canon,alert_bot_links_1,8,rn,BIGINT,YES
canon,alert_mint_best,1,alert_chat_id,BIGINT,YES
canon,alert_mint_best,2,alert_message_id,BIGINT,YES
canon,alert_mint_best,3,alert_ts_ms,BIGINT,YES
canon,alert_mint_best,4,caller_name,VARCHAR,YES
canon,alert_mint_best,5,chain,VARCHAR,YES
canon,alert_mint_best,6,mint,VARCHAR,YES
canon,alert_mint_best,7,source,VARCHAR,YES
canon,alert_mint_best,8,run_id,VARCHAR,YES
canon,alert_mint_best,9,ingested_at,TIMESTAMP,YES
canon,alert_mint_best,10,chain_valid,BOOLEAN,YES
canon,alert_mint_best,11,source_count,BIGINT,YES
canon,alert_mint_best,12,score,INTEGER,YES
canon,alert_mint_counts,1,alert_chat_id,BIGINT,YES
canon,alert_mint_counts,2,alert_message_id,BIGINT,YES
canon,alert_mint_counts,3,mint_candidates_n,BIGINT,YES
canon,alert_mint_resolved,1,alert_chat_id,BIGINT,YES
canon,alert_mint_resolved,2,alert_message_id,BIGINT,YES
canon,alert_mint_resolved,3,alert_id,VARCHAR,YES
canon,alert_mint_resolved,4,mint,VARCHAR,YES
canon,alert_mint_resolved,5,chain,VARCHAR,YES
canon,alert_mint_resolved,6,mint_source,VARCHAR,YES
canon,alert_mint_resolved,7,run_id,VARCHAR,YES
canon,alert_mint_resolved,8,ingested_at,TIMESTAMP,YES
canon,alert_mints,1,alert_chat_id,BIGINT,YES
canon,alert_mints,2,alert_message_id,BIGINT,YES
canon,alert_mints,3,alert_ts_ms,BIGINT,YES
canon,alert_mints,4,caller_name,VARCHAR,YES
canon,alert_mints,5,chain,VARCHAR,YES
canon,alert_mints,6,mint,VARCHAR,YES
canon,alert_mints,7,source,VARCHAR,YES
canon,alert_mints,8,run_id,VARCHAR,YES
canon,alert_mints,9,ingested_at,TIMESTAMP,YES
canon,alert_mints_1,1,alert_chat_id,BIGINT,YES
canon,alert_mints_1,2,alert_message_id,BIGINT,YES
canon,alert_mints_1,3,mint,VARCHAR,YES
canon,alert_mints_1,4,chain,VARCHAR,YES
canon,alert_mints_1,5,source,VARCHAR,YES
canon,alert_mints_1,6,run_id,VARCHAR,YES
canon,alert_mints_1,7,ingested_at,TIMESTAMP,YES
canon,alert_resolved,1,alert_id,VARCHAR,YES
canon,alert_resolved,2,alert_chat_id,BIGINT,YES
canon,alert_resolved,3,alert_message_id,BIGINT,YES
canon,alert_resolved,4,alert_ts_ms,BIGINT,YES
canon,alert_resolved,5,caller_name,VARCHAR,YES
canon,alert_resolved,6,chain,VARCHAR,YES
canon,alert_resolved,7,mint,VARCHAR,YES
canon,alert_resolved,8,bot_message_id,BIGINT,YES
canon,alert_resolved,9,bot_ts_ms,BIGINT,YES
canon,alert_resolved,10,bot_name,VARCHAR,YES
canon,alert_resolved,11,run_id,VARCHAR,YES
canon,alert_resolved,12,ingested_at,TIMESTAMP,YES
canon,alert_resolved,13,alert_text,VARCHAR,YES
canon,alert_resolved_light,1,alert_id,VARCHAR,YES
canon,alert_resolved_light,2,alert_ts_ms,BIGINT,YES
canon,alert_resolved_light,3,caller_name,VARCHAR,YES
canon,alert_resolved_light,4,chain,VARCHAR,YES
canon,alert_resolved_light,5,mint,VARCHAR,YES
canon,alert_resolved_light,6,bot_ts_ms,BIGINT,YES
canon,alert_resolved_light,7,bot_name,VARCHAR,YES
canon,alert_resolved_light,8,mint_seen_in_alert_text,BOOLEAN,YES
canon,alert_resolved_light,9,mint_seen_in_bot_card,BOOLEAN,YES
canon,alerts,1,alert_chat_id,BIGINT,YES
canon,alerts,2,alert_message_id,BIGINT,YES
canon,alerts,3,alert_id,VARCHAR,YES
canon,alerts,4,alert_ts_ms,BIGINT,YES
canon,alerts,5,caller_name,VARCHAR,YES
canon,alerts,6,alert_text,VARCHAR,YES
canon,alerts,7,run_id,VARCHAR,YES
canon,alerts,8,ingested_at,TIMESTAMP,YES
canon,alerts_analysis,1,alert_id,VARCHAR,YES
canon,alerts_analysis,2,alert_chat_id,BIGINT,YES
