caller,token_address,timestamp,message_preview
"Brook Giga I verify @BrookCalls 
       
𝑩𝒓𝒐𝒐𝒌 𝑹𝒊𝒔𝒌𝒚 𝑷𝒍𝒂𝒚𝒔 💀🎻  01.12.2025 21:58:54","9ZoH3ssTQBJNVidsLo49q3buDidreiZc9g3NeETP3F2s","2025-12-01T11:59:00.000Z","gamble some here, team preparing a nice marketing push.https://dexscreener.com/solana/9ZoH3ssTQBJNVidsLo49q3buDidreiZc9g3NeETP3F2s?id=opyq8a4w"
"Mac","73qXJWGspPkEo42U9cYz81VvGe96sCTvNU8499hRpump","2025-12-01T12:30:27.000Z","73qXJWGspPkEo42U9cYz81VvGe96sCTvNU8499hRpump i hope this niggas aint larps and actually donate"
"Brook Giga I verify @BrookCalls","aMmF5CznaCg4sy3PFwm8daUj5kM7KqNbZ7kF8kdbonk","2025-12-01T12:43:51.000Z","aMmF5CznaCg4sy3PFwm8daUj5kM7KqNbZ7kF8kdbonk"
"exy","CSrwNk6B1DwWCHRMsaoDVUfD5bBMQCJPY72ZG3Nnpump","2025-12-01T13:22:02.000Z","CSrwNk6B1DwWCHRMsaoDVUfD5bBMQCJPY72ZG3Nnpump"
"exy","34XtuHjoYR3HjrMbWs2t3V7ZLC1zyVZceBCMrSAopump","2025-12-01T14:40:14.000Z","34XtuHjoYR3HjrMbWs2t3V7ZLC1zyVZceBCMrSAopump"
"exy","2bNQko1C2wYfexfe9MBnd7SwwaQC6vyEXdhMkhBWEN4d","2025-12-01T21:55:15.000Z","2bNQko1C2wYfexfe9MBnd7SwwaQC6vyEXdhMkhBWEN4d"
"Brook Giga I verify @BrookCalls","Dfh5DzRgSvvCFDoYc2ciTkMrbDfRKybA4SoFbPmApump","2025-12-01T22:19:21.000Z","/pnl Dfh5DzRgSvvCFDoYc2ciTkMrbDfRKybA4SoFbPmApump"
"Croz","J669BmQRWNgm1m84DRAEVNxGWeMzLMcNEh1ZBdWJpump","2025-12-02T02:30:07.000Z","https://pump.fun/coin/J669BmQRWNgm1m84DRAEVNxGWeMzLMcNEh1ZBdWJpump"
"Brook Giga I verify @BrookCalls 
       
𝐁𝐫𝐨𝐨𝐤 𝐂𝐚𝐥𝐥𝐬 💀 🎻  02.12.2025 17:11:10","2BAKjB47KpQD64m3nWGWrNjC2ZTwWpumYakJVgavdXQa","2025-12-02T07:11:28.000Z","$QBSchart looks very solidgood volume, nearly 2k holders. watch for safe entry 2BAKjB47KpQD64m3nWGWrNjC2ZTwWpumYakJVgavdXQa"
"exy","7ESp4uzjt7218bFhexK8BfkA3hPQ19A1BoNMsCpypump","2025-12-02T12:47:31.000Z","7ESp4uzjt7218bFhexK8BfkA3hPQ19A1BoNMsCpypump"
"Brook","7ESp4uzjt7218bFhexK8BfkA3hPQ19A1BoNMsCpypump","2025-12-02T16:20:27.000Z","7ESp4uzjt7218bFhexK8BfkA3hPQ19A1BoNMsCpypump"
"Mikasa","CFYhdWXsYfS7swnJgHRwb5toTHMEQD7Ljd5gGwKLpump","2025-12-02T16:56:36.000Z","CFYhdWXsYfS7swnJgHRwb5toTHMEQD7Ljd5gGwKLpump"
"davinch","GuhgaLx17yG56Xv6bb6C7Mun9a88RLc7zEEqp5oFpump","2025-12-02T18:27:02.000Z","Gamble GuhgaLx17yG56Xv6bb6C7Mun9a88RLc7zEEqp5oFpump"
"JK -Whale","BHV5SrPszkDksja75hKJR4TzuxrmXUptm8eQaPeDpump","2025-12-03T00:20:06.000Z","BHV5SrPszkDksja75hKJR4TzuxrmXUptm8eQaPeDpump"
"exy","5uJgHXWfe4ZXgVokmLk1M4Aoyp6Er8ns4DMEo2jSS4TN","2025-12-03T11:57:37.000Z","https://dexscreener.com/solana/5uJgHXWfe4ZXgVokmLk1M4Aoyp6Er8ns4DMEo2jSS4TN"
"Mistor","GuhgaLx17yG56Xv6bb6C7Mun9a88RLc7zEEqp5oFpump","2025-12-03T18:07:16.000Z","GuhgaLx17yG56Xv6bb6C7Mun9a88RLc7zEEqp5oFpump"
"meta maxist","BrmAxxVB3ugniV4WksZhoahugtHCLRpqyR2P91j5pump","2025-12-04T05:36:02.000Z","BrmAxxVB3ugniV4WksZhoahugtHCLRpqyR2P91j5pump"
"KungFuDOOM (DOOM arc)","Dyud8at753Pp3rg1PPBvJ5K3RZx7jdW7EhsCiGc4pump","2025-12-04T06:30:57.000Z","Dyud8at753Pp3rg1PPBvJ5K3RZx7jdW7EhsCiGc4pump"
"Austic","J4QxH48WaLftSkfyiAyk52DzSZmzdDpQb11C71Lcpump","2025-12-04T13:38:24.000Z","J4QxH48WaLftSkfyiAyk52DzSZmzdDpQb11C71Lcpump"
"BORUTO UZU || 010 ETH/SOL TO RECOUP","32AFCkJM7TnuyBc8yJS43fLwCzbB8WYgBfBpKinxpump","2025-12-04T13:44:47.000Z","32AFCkJM7TnuyBc8yJS43fLwCzbB8WYgBfBpKinxpump"
"BORUTO UZU || 010 ETH/SOL TO RECOUP","32AFCkJM7TnuyBc8yJS43fLwCzbB8WYgBfBpKinxpump","2025-12-04T14:23:31.000Z","32AFCkJM7TnuyBc8yJS43fLwCzbB8WYgBfBpKinxpump"
