TradeNumber,TokenAddress,AlertTime,EntryTime,ExitTime,PnL,PnLPercent,MaxReached,HoldDurationMinutes,IsWin
17,6m6GYqjDKH4WFg4f93mmoDJxAgHoQoBUZ1yNRc8Ebonk,2025-07-30T18:26:31.000Z,2025-08-04T20:00:00.000+10:00,2025-08-04T22:00:00.000+10:00,1.045260,4.53,1.1575,120,Yes
18,FTMjoTqwXjANAZ2YpYtUrEd129pgHMxYLwmLUzCsbonk,2025-07-31T08:41:30.000Z,2025-08-01T02:00:00.000+10:00,2025-08-01T03:00:00.000+10:00,0.968722,-3.13,1.4831,60,No
19,E4UpNxFEPghcMaVJvpZrEZBLGietafZW2a3ARbSobonk,2025-07-31T08:41:57.000Z,2025-08-08T10:00:00.000+10:00,2025-08-08T15:00:00.000+10:00,1.011003,1.10,1.0345,300,Yes
20,ECrRBCSorvbhEYWitrGCzrcY1gqqMeV14DgBAtFbBAGS,2025-07-31T08:42:05.000Z,2025-08-04T09:00:00.000+10:00,2025-08-05T03:00:00.000+10:00,0.954405,-4.56,1.0000,1080,No
21,6JLPtSC9VXz1xTYFNoVQJfEBXyeDx4sgqMVyX5Ftbonk,2025-08-01T10:45:32.000Z,2025-08-04T09:00:00.000+10:00,2025-08-04T19:00:00.000+10:00,1.000304,0.03,1.0142,600,Yes
22,4DSQWyGTEmEr2Q9BSKkXukR8K3QuoaTtWBR7Fk1ebonk,2025-08-01T19:20:07.000Z,2025-08-05T20:00:00.000+10:00,2025-08-06T00:00:00.000+10:00,0.980236,-1.98,1.0000,240,No
23,FpBL8Ta2XGw4VrpDrw8EH1Qm3mb1o4brHweASeszBAGS,2025-08-02T00:34:54.000Z,2025-08-02T20:00:00.000+10:00,2025-08-02T22:00:00.000+10:00,0.962852,-3.71,1.0014,120,No
24,CwxXrctZ9cR4RzFy2vzZUcbCgG2TUncwwjS59Bymbonk,2025-08-02T11:30:13.000Z,2025-08-06T00:00:00.000+10:00,2025-08-06T04:00:00.000+10:00,0.905374,-9.46,1.1404,240,No
25,7MdF6aSLRaHnnM5L7psNfLnzAZMcxU4HVeXNmorPbonk,2025-08-02T13:37:30.000Z,2025-08-05T09:00:00.000+10:00,2025-08-05T11:00:00.000+10:00,1.040838,4.08,1.0000,120,Yes
26,FyrBf5xKg5EwKZ9pHvSpJeLLuCWBicTpm3VvZcsibonk,2025-08-03T08:37:16.000Z,2025-08-04T03:00:00.000+10:00,2025-08-04T05:00:00.000+10:00,1.074101,7.41,1.2681,120,Yes
27,2rY6pFwrtFqRFsUZR5QUbjYmJATSsvuWVPQqbcM4bonk,2025-08-03T21:09:32.000Z,2025-08-07T08:00:00.000+10:00,2025-08-07T09:00:00.000+10:00,1.028500,2.85,1.0405,60,Yes
28,CSiLxHNvXKcEgF8S9Ymd23UkXspenuweTepyzaUnbonk,2025-08-04T10:00:49.000Z,2025-08-07T01:00:00.000+10:00,2025-08-07T03:00:00.000+10:00,1.105308,10.53,1.3270,120,Yes
29,DGKj2gcKkrYnJYLGN89d1yStpx7r6yPkR166opx2bonk,2025-08-04T23:36:30.000Z,2025-08-06T18:00:00.000+10:00,2025-08-06T19:00:00.000+10:00,0.940683,-5.93,1.0830,60,No
30,CneWN1hgwhNEYhKdn4Vy5RcDyih26bdbqRy9aKnMbonk,2025-08-05T06:58:00.000Z,2025-08-08T01:00:00.000+10:00,2025-08-08T03:00:00.000+10:00,1.027722,2.77,1.0021,120,Yes
31,4cVENSGqpBQQTwCHJuGhJbqfWxBTG9mz6RpvqRckbonk,2025-08-05T09:40:43.000Z,2025-08-07T10:00:00.000+10:00,2025-08-07T12:00:00.000+10:00,1.074750,7.48,1.0350,120,Yes
32,CqVToqucqj9cTL4Venu4HGHTTtro5VfMWBz6dyrdpump,2025-08-07T10:34:15.000Z,2025-08-09T07:00:00.000+10:00,2025-08-09T09:00:00.000+10:00,1.005252,0.53,1.0000,120,Yes
33,ChKut2HZgzVQgWeNQ7xMsejdMs5QHr4obd1tMRMswGAW,2025-08-07T10:48:21.000Z,2025-08-08T09:00:00.000+10:00,2025-08-08T10:00:00.000+10:00,1.049205,4.92,1.0072,60,Yes
34,Ddt3SAUc7kPcUM23BiVqVnkbQJDL9LyWNUE31Rjxpump,2025-08-08T08:16:48.000Z,2025-08-09T03:00:00.000+10:00,2025-08-09T04:00:00.000+10:00,1.443872,44.39,1.5027,60,Yes
35,BSmpPYc1hGuxKUwjbBuWyachzqk2sWBCPrRx7mmSkUr1,2025-08-08T09:54:09.000Z,2025-08-10T10:00:00.000+10:00,2025-08-10T15:00:00.000+10:00,1.000000,0.00,1.0000,300,No
36,9TUj8SJsDnRoSRVnHotNR4czhGUgyFAZSUcKE7Ebbonk,2025-08-09T15:55:01.000Z,2025-08-13T10:00:00.000+10:00,2025-08-13T14:00:00.000+10:00,1.045820,4.58,1.1031,240,Yes
37,FZ4nhFt9rDrRSXkxpry2DQpooH5beNZS8oLNKiAo6zgx,2025-08-17T09:28:38.000Z,2025-08-18T16:00:00.000+10:00,2025-08-18T18:00:00.000+10:00,1.366920,36.69,1.0218,120,Yes
38,9xzF5pmvWcEhmCCnuXKXttdF6HfQFy5V246v34SFpump,2025-08-20T16:23:29.000Z,2025-08-21T23:00:00.000+10:00,2025-08-22T01:00:00.000+10:00,0.906357,-9.36,1.0194,120,No
39,5ayT9e3q2B69pGojNLtFqspmUL2pjTRvZYfy7TE81777,2025-08-20T16:36:53.000Z,2025-08-23T06:00:00.000+10:00,2025-08-23T11:00:00.000+10:00,0.938841,-6.12,1.0147,300,No
40,Hvx4f3urRZfYJ7sDCB3yHEUWPsuGg3vfqPdp6e33pump,2025-08-23T21:19:35.000Z,2025-08-27T08:00:00.000+10:00,2025-08-27T12:00:00.000+10:00,0.980778,-1.92,1.0000,240,No
41,5vf7gwu4YM4J8b1LbnjH7RYZwruDtTAoJiNvetvUpump,2025-09-02T12:42:08.000Z,2025-09-04T02:00:00.000+10:00,2025-09-04T03:00:00.000+10:00,1.000867,0.09,1.0062,60,Yes
42,3yn6LCCiFgkyo2Qg1XVYqrcijymGFiJxYUydScCypump,2025-09-05T23:46:25.000Z,2025-09-07T00:00:00.000+10:00,2025-09-07T02:00:00.000+10:00,0.800000,-20.00,1.0040,120,No
43,2y1j2t2P3Mv2KXM5bKoaiwWMPJSaGyEFVct79LNmpump,2025-09-06T13:34:24.000Z,2025-09-07T11:00:00.000+10:00,2025-09-07T13:00:00.000+10:00,0.981787,-1.82,1.0520,120,No
44,BV3PUxYhLs1X859A8ev7QaGnQLESnqY7kTaak3Aepump,2025-09-06T13:46:04.000Z,2025-09-07T06:05:00.000+10:00,2025-09-07T06:45:00.000+10:00,0.959342,-4.07,1.0906,40,No
45,5ok8NHwUiM8ehxq9NYoNMRydKTqe3sFLFegZwFrdpump,2025-09-12T19:22:04.000Z,2025-09-13T14:00:00.000+10:00,2025-09-13T16:00:00.000+10:00,0.808183,-19.18,1.0042,120,No
46,2NhxyEJKtvAJ96FNXH827zMjK2P18GhLUfiefdwfpump,2025-09-12T19:22:09.000Z,2025-09-14T19:00:00.000+10:00,2025-09-15T04:00:00.000+10:00,0.830087,-16.99,1.0078,540,No
47,3arUrpH3nzaRJbbpVgY42dcqSq9A5BFgUxKozZ4npump,2025-09-12T22:02:52.000Z,2025-09-13T18:00:00.000+10:00,2025-09-13T19:00:00.000+10:00,1.048621,4.86,1.2179,60,Yes
48,E5fVzhnUUQQMgiRaVEpEweCesvnnLQED9y6tsns3pump,2025-09-12T22:14:47.000Z,2025-09-15T02:00:00.000+10:00,2025-09-15T10:00:00.000+10:00,0.976509,-2.35,1.2267,480,No
49,0xA524B11473b7Ce7EB1dc883A585e64471A734444,2025-09-19T09:50:18.000Z,2025-09-20T02:00:00.000+10:00,2025-09-20T04:00:00.000+10:00,0.965102,-3.49,1.0800,120,No
50,Ck6FANrzk4YDTqF3N649jKgzQuWP9GBZH7WabJnDpump,2025-09-27T15:24:32.000Z,2025-09-28T13:00:00.000+10:00,2025-09-28T15:00:00.000+10:00,1.003838,0.38,1.0000,120,Yes
51,0x58c7edc522bec60710185ab2a2e0024a37594444,2025-10-03T12:26:21.000Z,2025-10-05T12:00:00.000+11:00,2025-10-05T14:00:00.000+11:00,0.960585,-3.94,1.0000,120,No
52,0x89ac8aa936ac40a0d9df15576518de0dd15e4444,2025-10-03T12:27:22.000Z,2025-10-04T12:00:00.000+10:00,2025-10-04T17:00:00.000+10:00,0.990418,-0.96,1.0000,300,No
53,BC4gBmhaPA8QpegjpwJuz74LPETPSiWXTx1E37gwpump,2025-10-04T20:26:56.000Z,2025-10-07T04:00:00.000+11:00,2025-10-07T05:00:00.000+11:00,0.851039,-14.90,1.0000,60,No
54,0x91e55c9dd16095561ec46ca899464bebbd084444,2025-10-09T00:00:41.000Z,2025-10-12T14:00:00.000+11:00,2025-10-12T16:00:00.000+11:00,1.048481,4.85,1.0000,120,Yes
55,0xb77a1BD00D9C7FF5e15D70C7f78e4b80E18E4444,2025-10-09T12:31:06.000Z,2025-10-10T19:00:00.000+11:00,2025-10-10T21:00:00.000+11:00,0.985104,-1.49,1.0602,120,No
56,0x3568561cc4fe7421d0269a4f87358c6c52e74444,2025-10-11T14:39:56.000Z,2025-10-12T11:00:00.000+11:00,2025-10-12T13:00:00.000+11:00,1.047298,4.73,1.4658,120,Yes
57,0xE5736fc2cB7B48Ecb213852B35B8ddae20754444,2025-10-12T22:54:31.000Z,2025-10-14T03:00:00.000+11:00,2025-10-14T04:05:00.000+11:00,1.069728,6.97,1.0283,65,Yes
58,GqkrnpvN4iZNGgmB4bPpbNZsebH6cYR8VYEZp6NPpump,2025-10-14T17:43:49.000Z,2025-10-18T05:00:00.000+11:00,2025-10-18T09:00:00.000+11:00,1.000000,0.00,1.0000,240,No
59,5iWHqvokejjmp7XAENfGVoeU4UDKaKToo3BoM53Tpump,2025-10-14T17:51:13.000Z,2025-10-15T20:00:00.000+11:00,2025-10-15T21:00:00.000+11:00,1.000385,0.04,1.0155,60,Yes
60,0x0a43fc31a73013089df59194872ecae4cae14444,2025-10-19T13:05:05.000Z,2025-10-20T08:00:00.000+11:00,2025-10-20T09:00:00.000+11:00,1.001170,0.12,1.0221,60,Yes
61,6qjmEYdre48o1sMW9HLNHX4qW7mHaDzkyRRX2Rtmpump,2025-10-20T14:55:31.000Z,2025-10-25T23:00:00.000+11:00,2025-10-26T02:00:00.000+11:00,0.983874,-1.61,1.0000,180,No
62,0x7cacc8e82c41502e38ea7a1f828eab7145134444,2025-10-24T08:23:06.000Z,2025-10-27T02:00:00.000+11:00,2025-10-27T13:00:00.000+11:00,1.003299,0.33,1.0122,660,Yes
63,1G3YpacDJdd3KTrFHGcGdyHep9srGAPmx8WLgQzcoin,2025-10-24T23:11:05.000Z,2025-10-26T04:00:00.000+11:00,2025-10-26T06:00:00.000+11:00,1.200770,20.08,1.0184,120,Yes
64,Gx2RU7yzu29hAkXWr6F1KxWQ5rNtmC1etpTdBcy4pump,2025-10-26T12:37:21.000Z,2025-10-27T16:00:00.000+11:00,2025-10-27T19:00:00.000+11:00,0.800000,-20.00,1.0273,180,No
