TradeNumber,TokenAddress,AlertTime,EntryTime,ExitTime,PnL,PnLPercent,MaxReached,HoldDurationMinutes,IsWin
15,2LzVEkf4TWX36MaVHcuoXiKCvhQEHZxVuvGdD6PJpump,2025-09-26T08:29:35.000Z,2025-09-27T01:00:00.000+10:00,2025-09-27T04:00:00.000+10:00,0.911671,-8.83,1.2584,180,No
16,AKCEbMKUfbB8Wo7N4rYQRFeZT7oJkKymEd2TNCCLbonk,2025-09-29T09:52:51.000Z,2025-10-01T23:00:00.000+10:00,2025-10-02T01:00:00.000+10:00,1.010117,1.01,1.3544,120,Yes
17,Gi3vuXnFJevwrjKQMzher3dsPNwNeNn5H9etwC84pump,2025-09-29T23:34:08.000Z,2025-10-01T01:00:00.000+10:00,2025-10-01T03:00:00.000+10:00,4.308824,330.88,1.1572,120,Yes
18,34AeqX5MQGyrey2VnZdkeZCfM4qinp4F3X7pGxtipump,2025-10-01T21:06:11.000Z,2025-10-04T20:00:00.000+10:00,2025-10-04T22:00:00.000+10:00,0.992188,-0.78,1.0518,120,No
19,2KeTZmGhnZmjp18R1fcFZM82BSB1gfZ744VdkbFhwDkC,2025-10-05T16:10:18.000Z,2025-10-07T11:00:00.000+11:00,2025-10-07T20:00:00.000+11:00,1.000000,0.00,1.0000,540,No
20,BTyH61fYgXULwepVaQTf4PZn43BmSxawHDfwprqcpump,2025-10-07T06:37:13.000Z,2025-10-08T07:00:00.000+11:00,2025-10-08T08:00:00.000+11:00,1.379470,37.95,1.1862,60,Yes
21,0x4fcD7AA7211b88ab6De744C2BEB53A1D87964444,2025-10-10T06:12:35.000Z,2025-10-11T07:00:00.000+11:00,2025-10-11T08:00:00.000+11:00,1.016983,1.70,1.2573,60,Yes
22,0x6748f1dc8cd0e70586f2e0d965bd5f3eb1fd4444,2025-10-13T00:09:56.000Z,2025-10-14T03:00:00.000+11:00,2025-10-14T20:00:00.000+11:00,0.926161,-7.38,1.0000,1020,No
23,0xce67bdba643791b00fece81596d035a01fef4444,2025-10-13T08:48:56.000Z,2025-10-19T05:00:00.000+11:00,2025-10-19T07:00:00.000+11:00,1.010964,1.10,1.0000,120,Yes
24,0xf3b3aaf9ba1e7447076c0a115bf95d696aa74444,2025-10-13T10:23:06.000Z,2025-10-18T23:00:00.000+11:00,2025-10-19T07:00:00.000+11:00,1.012169,1.22,1.0243,480,Yes
25,0x1da24551d1d805e88b587f013af34b8f2e6e4444,2025-10-14T10:10:24.000Z,2025-10-15T06:00:00.000+11:00,2025-10-15T08:00:00.000+11:00,0.954561,-4.54,1.0062,120,No
26,0xce631e375b4af12a575a9141cd09fa0b135c2808,2025-10-20T22:43:42.000Z,2025-10-22T11:00:00.000+11:00,2025-10-22T15:00:00.000+11:00,1.000000,0.00,1.0000,240,No
