Strategy,TotalTrades,WinRate,AvgPnlPerTrade,FinalPortfolio,CompoundFactor,MaxDrawdown,MaxDrawdownPct,StdDevReturns,RiskAdjustedScore,AvgPerTradeMaxDrawdown,AvgRiskRatio,SharpeRatio,LossClampEnabled,MinPnlFloor
PT1.5_SL25_TS10@1.3_NoExitCross_KijunSL_NoClamp,666,51.95,7.06,7487.29,74.8729,361.80,4.68,26.62,2.7754,4.04,4.18,4.2130,No,0.8
PT1.5-2_SL20_TS10@1.3_NoExitCross_KijunSL_NoClamp,666,51.80,7.04,7464.23,74.6423,360.69,4.68,25.58,2.8790,3.91,4.17,4.3689,No,0.8
PT1.5-2_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp80,666,51.80,7.04,7464.23,74.6423,360.69,4.68,25.58,2.8790,3.91,4.17,4.3689,Yes,0.8
PT1.5-2_SL25_TS10@1.3_NoExitCross_KijunSL_NoClamp,666,51.95,7.00,7265.33,72.6533,351.07,4.68,25.85,2.7719,4.04,4.18,4.2997,No,0.8
PT2_SL25_TS10@1.3_ExitCross_KijunSL_Clamp85,666,48.50,6.93,6855.79,68.5579,342.14,4.83,27.65,2.4431,3.85,4.05,3.9759,Yes,0.85
PT2-3_SL25_TS10@1.3_ExitCross_KijunSL_Clamp85,666,48.50,6.78,6347.33,63.4733,316.77,4.83,26.46,2.3607,3.85,4.05,4.0657,Yes,0.85
PT2_SL20_TS10@1.3_ExitCross_KijunSL_Clamp85,666,48.35,6.79,6278.32,62.7832,313.32,4.83,27.54,2.2431,3.87,4.04,3.9148,Yes,0.85
PT2-3_SL20_TS10@1.3_ExitCross_KijunSL_Clamp85,666,48.35,6.64,5812.68,58.1268,290.08,4.83,26.35,2.1680,3.87,4.04,4.0031,Yes,0.85
PT1.5_SL25_TS10@1.3_ExitCross_KijunSL_Clamp85,666,48.50,6.50,5438.47,54.3847,271.41,4.83,25.74,2.0737,3.85,4.05,4.0089,Yes,0.85
PT1.5-2_SL25_TS10@1.3_ExitCross_KijunSL_Clamp85,666,48.50,6.44,5277.23,52.7723,263.36,4.83,24.95,2.0752,3.85,4.05,4.0970,Yes,0.85
PT2_SL15_TS10@1.3_ExitCross_KijunSL_Clamp85,666,47.75,6.52,5246.31,52.4631,298.37,5.50,27.55,1.8681,3.97,3.98,3.7558,Yes,0.85
PT2_SL15_TS10@1.3_ExitCross_KijunSL_NoClamp,666,47.75,6.52,5246.31,52.4631,298.37,5.50,27.55,1.8681,3.97,3.98,3.7558,No,0.8
PT2_SL15_TS10@1.3_ExitCross_KijunSL_Clamp80,666,47.75,6.52,5246.31,52.4631,298.37,5.50,27.55,1.8681,3.97,3.98,3.7558,Yes,0.8
PT2_SL25_TS10@1.3_ExitCross_KijunSL_Clamp80,666,48.50,6.51,5206.19,52.0619,277.72,5.14,28.01,1.8228,4.26,4.03,3.6876,Yes,0.8
PT1.5_SL20_TS10@1.3_ExitCross_KijunSL_Clamp85,666,48.35,6.39,5037.14,50.3714,251.38,4.83,25.67,1.9235,3.87,4.04,3.9494,Yes,0.85
PT1.5-2_SL20_TS10@1.3_ExitCross_KijunSL_Clamp85,666,48.35,6.32,4868.92,48.6892,242.98,4.83,24.85,1.9187,3.87,4.04,4.0348,Yes,0.85
PT2-3_SL15_TS10@1.3_ExitCross_KijunSL_Clamp85,666,47.75,6.37,4857.21,48.5721,279.43,5.56,26.35,1.8052,3.97,3.98,3.8371,Yes,0.85
PT2-3_SL15_TS10@1.3_ExitCross_KijunSL_NoClamp,666,47.75,6.37,4857.21,48.5721,279.43,5.56,26.35,1.8052,3.97,3.98,3.8371,No,0.8
PT2-3_SL15_TS10@1.3_ExitCross_KijunSL_Clamp80,666,47.75,6.37,4857.21,48.5721,279.43,5.56,26.35,1.8052,3.97,3.98,3.8371,Yes,0.8
PT2-3_SL25_TS10@1.3_ExitCross_KijunSL_Clamp80,666,48.50,6.36,4818.95,48.1895,257.06,5.14,26.84,1.7583,4.26,4.03,3.7616,Yes,0.8
PT2_SL20_TS10@1.3_ExitCross_KijunSL_NoClamp,666,48.35,6.36,4725.26,47.2526,254.68,5.20,27.91,1.6569,4.30,4.01,3.6180,No,0.8
PT2_SL20_TS10@1.3_ExitCross_KijunSL_Clamp80,666,48.35,6.36,4725.26,47.2526,254.68,5.20,27.91,1.6569,4.30,4.01,3.6180,Yes,0.8
PT2_SL25_TS10@1.3_ExitCross_KijunSL_NoClamp,666,48.50,6.30,4530.98,45.3098,256.09,5.43,28.23,1.5697,4.47,4.02,3.5416,No,0.8
PT2-3_SL20_TS10@1.3_ExitCross_KijunSL_NoClamp,666,48.35,6.21,4373.79,43.7379,241.29,5.32,26.73,1.5986,4.30,4.01,3.6898,No,0.8
PT2-3_SL20_TS10@1.3_ExitCross_KijunSL_Clamp80,666,48.35,6.21,4373.79,43.7379,241.29,5.32,26.73,1.5986,4.30,4.01,3.6898,Yes,0.8
PT1.5_SL15_TS10@1.3_ExitCross_KijunSL_NoClamp,666,47.75,6.11,4209.15,42.0915,246.24,5.66,25.67,1.6009,3.97,3.98,3.7794,No,0.8
PT1.5_SL15_TS10@1.3_ExitCross_KijunSL_Clamp80,666,47.75,6.11,4209.15,42.0915,246.24,5.66,25.67,1.6009,3.97,3.98,3.7794,Yes,0.8
PT1.5_SL15_TS10@1.3_ExitCross_KijunSL_Clamp85,666,47.75,6.11,4209.15,42.0915,246.24,5.66,25.67,1.6009,3.97,3.98,3.7794,Yes,0.85
PT2-3_SL25_TS10@1.3_ExitCross_KijunSL_NoClamp,666,48.50,6.15,4193.17,41.9317,239.98,5.50,27.06,1.5126,4.47,4.02,3.6075,No,0.8
PT1.5_SL25_TS10@1.3_ExitCross_KijunSL_Clamp80,666,48.50,6.08,4127.49,41.2749,224.11,5.23,26.12,1.5417,4.26,4.03,3.6963,Yes,0.8
PT1.5-2_SL15_TS10@1.3_ExitCross_KijunSL_NoClamp,666,47.75,6.04,4068.58,40.6858,239.80,5.70,24.85,1.5968,3.97,3.98,3.8593,No,0.8
PT1.5-2_SL15_TS10@1.3_ExitCross_KijunSL_Clamp80,666,47.75,6.04,4068.58,40.6858,239.80,5.70,24.85,1.5968,3.97,3.98,3.8593,Yes,0.8
PT1.5-2_SL15_TS10@1.3_ExitCross_KijunSL_Clamp85,666,47.75,6.04,4068.58,40.6858,239.80,5.70,24.85,1.5968,3.97,3.98,3.8593,Yes,0.85
PT1.5-2_SL25_TS10@1.3_ExitCross_KijunSL_Clamp80,666,48.50,6.02,4004.97,40.0497,220.93,5.32,25.34,1.5411,4.26,4.03,3.7716,Yes,0.8
PT1.5_SL20_TS10@1.3_ExitCross_KijunSL_Clamp80,666,48.35,5.96,3789.10,37.8910,223.43,5.68,26.06,1.4157,4.30,4.01,3.6279,Yes,0.8
PT1.5_SL20_TS10@1.3_ExitCross_KijunSL_NoClamp,666,48.35,5.96,3789.10,37.8910,223.43,5.68,26.06,1.4157,4.30,4.01,3.6279,No,0.8
PT1.5-2_SL20_TS10@1.3_ExitCross_KijunSL_NoClamp,666,48.35,5.89,3662.35,36.6235,220.26,5.80,25.26,1.4104,4.30,4.01,3.6999,No,0.8
PT1.5-2_SL20_TS10@1.3_ExitCross_KijunSL_Clamp80,666,48.35,5.89,3662.35,36.6235,220.26,5.80,25.26,1.4104,4.30,4.01,3.6999,Yes,0.8
PT1.5_SL25_TS10@1.3_ExitCross_KijunSL_NoClamp,666,48.50,5.87,3591.17,35.9117,222.23,5.95,26.35,1.3249,4.47,4.02,3.5381,No,0.8
PT1.5-2_SL25_TS10@1.3_ExitCross_KijunSL_NoClamp,666,48.50,5.81,3484.25,34.8425,219.06,6.04,25.57,1.3234,4.47,4.02,3.6070,No,0.8
PT2_SL25_TS10@1.3_ExitCross_FixedSL_Clamp85,666,33.93,5.46,2658.16,26.5816,324.23,11.24,29.97,0.8534,6.81,3.15,2.8895,Yes,0.85
PT2_SL25_TS15@1.5_NoExitCross_KijunSL_Clamp85,666,47.15,5.40,2567.16,25.6716,212.57,8.03,26.89,0.9177,3.84,14.70,3.1855,Yes,0.85
PT2-3_SL25_TS15@1.5_NoExitCross_KijunSL_Clamp85,666,47.15,5.29,2434.02,24.3402,201.70,8.03,26.01,0.8974,3.84,14.70,3.2303,Yes,0.85
PT2-3_SL25_TS10@1.3_ExitCross_FixedSL_Clamp85,666,33.93,5.29,2431.98,24.3198,296.64,11.24,28.78,0.8103,6.81,3.15,2.9181,Yes,0.85
PT2_SL20_TS15@1.5_NoExitCross_KijunSL_Clamp85,666,47.00,5.28,2376.51,23.7651,196.78,8.03,26.80,0.8494,3.86,14.66,3.1253,Yes,0.85
PT2-3_SL20_TS15@1.5_NoExitCross_KijunSL_Clamp85,666,47.00,5.17,2253.25,22.5325,186.72,8.03,25.92,0.8307,3.86,14.66,3.1686,Yes,0.85
PT2_SL15_TS15@1.5_NoExitCross_KijunSL_NoClamp,666,46.85,5.19,2244.65,22.4465,191.02,8.25,26.83,0.7994,3.92,14.57,3.0714,No,0.8
PT2_SL15_TS15@1.5_NoExitCross_KijunSL_Clamp80,666,46.85,5.19,2244.65,22.4465,191.02,8.25,26.83,0.7994,3.92,14.57,3.0714,Yes,0.8
PT2_SL15_TS15@1.5_NoExitCross_KijunSL_Clamp85,666,46.85,5.19,2244.65,22.4465,191.02,8.25,26.83,0.7994,3.92,14.57,3.0714,Yes,0.85
PT1.5_SL25_TS15@1.5_NoExitCross_KijunSL_Clamp85,666,47.15,5.09,2179.89,21.7989,177.55,7.90,25.11,0.8282,3.84,14.70,3.2151,Yes,0.85
PT2-3_SL15_TS15@1.5_NoExitCross_KijunSL_NoClamp,666,46.85,5.09,2128.23,21.2823,181.11,8.25,25.95,0.7816,3.92,14.57,3.1127,No,0.8
PT2-3_SL15_TS15@1.5_NoExitCross_KijunSL_Clamp80,666,46.85,5.09,2128.23,21.2823,181.11,8.25,25.95,0.7816,3.92,14.57,3.1127,Yes,0.8
PT2-3_SL15_TS15@1.5_NoExitCross_KijunSL_Clamp85,666,46.85,5.09,2128.23,21.2823,181.11,8.25,25.95,0.7816,3.92,14.57,3.1127,Yes,0.85
PT1.5-2_SL25_TS15@1.5_NoExitCross_KijunSL_Clamp85,666,47.15,5.01,2086.04,20.8604,171.12,7.95,24.42,0.8132,3.84,14.70,3.2540,Yes,0.85
PT1.5_SL20_TS15@1.5_NoExitCross_KijunSL_Clamp85,666,47.00,4.98,2031.44,20.3144,165.46,7.90,25.04,0.7712,3.86,14.66,3.1554,Yes,0.85
PT2_SL25_TS15@1.5_NoExitCross_KijunSL_Clamp80,666,47.15,5.03,2008.04,20.0804,176.50,8.52,27.19,0.7017,4.21,14.68,2.9344,Yes,0.8
PT1.5-2_SL20_TS15@1.5_NoExitCross_KijunSL_Clamp85,666,47.00,4.89,1939.59,19.3959,159.11,7.95,24.34,0.7557,3.86,14.66,3.1917,Yes,0.85
PT1.5_SL15_TS15@1.5_NoExitCross_KijunSL_NoClamp,666,46.85,4.89,1918.73,19.1873,163.28,8.25,25.07,0.7254,3.92,14.57,3.0976,No,0.8
PT1.5_SL15_TS15@1.5_NoExitCross_KijunSL_Clamp80,666,46.85,4.89,1918.73,19.1873,163.28,8.25,25.07,0.7254,3.92,14.57,3.0976,Yes,0.8
PT1.5_SL15_TS15@1.5_NoExitCross_KijunSL_Clamp85,666,46.85,4.89,1918.73,19.1873,163.28,8.25,25.07,0.7254,3.92,14.57,3.0976,Yes,0.85
PT2-3_SL25_TS15@1.5_NoExitCross_KijunSL_Clamp80,666,47.15,4.92,1903.63,19.0363,167.45,8.52,26.32,0.6852,4.21,14.68,2.9693,Yes,0.8
PT1.5_SL25_TS10@1.3_ExitCross_FixedSL_Clamp85,666,33.93,4.85,1888.11,18.8811,234.33,11.26,27.36,0.6536,6.81,3.15,2.8137,Yes,0.85
PT2_SL20_TS15@1.5_NoExitCross_KijunSL_NoClamp,666,47.00,4.90,1842.71,18.4271,161.97,8.52,27.12,0.6427,4.25,14.63,2.8659,No,0.8
PT2_SL20_TS15@1.5_NoExitCross_KijunSL_Clamp80,666,47.00,4.90,1842.71,18.4271,161.97,8.52,27.12,0.6427,4.25,14.63,2.8659,Yes,0.8
PT1.5-2_SL25_TS10@1.3_ExitCross_FixedSL_Clamp85,666,33.93,4.79,1835.45,18.3545,226.39,11.25,26.57,0.6532,6.81,3.15,2.8597,Yes,0.85
PT1.5-2_SL15_TS15@1.5_NoExitCross_KijunSL_Clamp85,666,46.85,4.81,1831.97,18.3197,155.90,8.25,24.37,0.7106,3.92,14.57,3.1321,Yes,0.85
PT1.5-2_SL15_TS15@1.5_NoExitCross_KijunSL_NoClamp,666,46.85,4.81,1831.97,18.3197,155.90,8.25,24.37,0.7106,3.92,14.57,3.1321,No,0.8
PT1.5-2_SL15_TS15@1.5_NoExitCross_KijunSL_Clamp80,666,46.85,4.81,1831.97,18.3197,155.90,8.25,24.37,0.7106,3.92,14.57,3.1321,Yes,0.8
PT2_SL25_TS15@1.5_NoExitCross_KijunSL_NoClamp,666,47.15,4.85,1789.38,17.8938,170.24,9.22,27.36,0.6174,4.38,14.67,2.8164,No,0.8
PT2-3_SL20_TS15@1.5_NoExitCross_KijunSL_NoClamp,666,47.00,4.79,1746.89,17.4689,153.66,8.52,26.25,0.6275,4.25,14.63,2.8990,No,0.8
PT2-3_SL20_TS15@1.5_NoExitCross_KijunSL_Clamp80,666,47.00,4.79,1746.89,17.4689,153.66,8.52,26.25,0.6275,4.25,14.63,2.8990,Yes,0.8
PT1.5_SL25_TS15@1.5_NoExitCross_KijunSL_Clamp80,666,47.15,4.72,1704.21,17.0421,149.67,8.51,25.44,0.6307,4.21,14.68,2.9442,Yes,0.8
PT2-3_SL25_TS15@1.5_NoExitCross_KijunSL_NoClamp,666,47.15,4.75,1696.07,16.9607,161.36,9.22,26.50,0.6023,4.38,14.67,2.8467,No,0.8
PT1.5-2_SL25_TS15@1.5_NoExitCross_KijunSL_Clamp80,666,47.15,4.64,1630.73,16.3073,143.21,8.51,24.75,0.6184,4.21,14.68,2.9741,Yes,0.8
PT1.5_SL20_TS15@1.5_NoExitCross_KijunSL_NoClamp,666,47.00,4.60,1574.34,15.7434,138.26,8.51,25.38,0.5810,4.25,14.63,2.8758,No,0.8
PT1.5_SL20_TS15@1.5_NoExitCross_KijunSL_Clamp80,666,47.00,4.60,1574.34,15.7434,138.26,8.51,25.38,0.5810,4.25,14.63,2.8758,Yes,0.8
PT1.5_SL25_TS20@2_NoExitCross_KijunSL_Clamp85,666,47.15,4.50,1520.28,15.2028,129.70,8.27,23.89,0.5944,3.84,14.70,2.9869,Yes,0.85
PT1.5_SL25_TS15@1.5_NoExitCross_KijunSL_NoClamp,666,47.15,4.55,1518.41,15.1841,144.46,9.22,25.62,0.5537,4.38,14.67,2.8170,No,0.8
PT1.5-2_SL20_TS15@1.5_NoExitCross_KijunSL_NoClamp,666,47.00,4.51,1503.04,15.0304,132.00,8.51,24.68,0.5684,4.25,14.63,2.9027,No,0.8
PT1.5-2_SL20_TS15@1.5_NoExitCross_KijunSL_Clamp80,666,47.00,4.51,1503.04,15.0304,132.00,8.51,24.68,0.5684,4.25,14.63,2.9027,Yes,0.8
PT1.5_SL20_TS20@2_NoExitCross_KijunSL_Clamp85,666,47.00,4.43,1453.43,14.5343,124.00,8.27,23.89,0.5666,3.86,14.66,2.9428,Yes,0.85
PT1.5-2_SL25_TS15@1.5_NoExitCross_KijunSL_NoClamp,666,47.15,4.47,1452.80,14.5280,138.22,9.22,24.94,0.5425,4.38,14.67,2.8426,No,0.8
PT1.5_SL15_TS20@2_NoExitCross_KijunSL_NoClamp,666,46.85,4.34,1372.78,13.7278,117.88,8.32,23.91,0.5322,3.92,14.57,2.8826,No,0.8
PT1.5_SL15_TS20@2_NoExitCross_KijunSL_Clamp80,666,46.85,4.34,1372.78,13.7278,117.88,8.32,23.91,0.5322,3.92,14.57,2.8826,Yes,0.8
PT1.5_SL15_TS20@2_NoExitCross_KijunSL_Clamp85,666,46.85,4.34,1372.78,13.7278,117.88,8.32,23.91,0.5322,3.92,14.57,2.8826,Yes,0.85
PT1.5-2_SL25_TS20@2_NoExitCross_KijunSL_Clamp85,666,47.15,4.29,1334.45,13.3445,116.47,8.46,23.26,0.5306,3.84,14.70,2.9240,Yes,0.85
PT2_SL25_TS20@2_NoExitCross_KijunSL_Clamp85,666,46.55,4.32,1315.49,13.1549,146.25,10.78,25.48,0.4771,3.86,14.92,2.6921,Yes,0.85
PT2_SL25_TS15@1.5_ExitCross_KijunSL_Clamp85,666,43.69,4.31,1308.92,13.0892,140.79,10.11,26.45,0.4570,4.17,14.09,2.5844,Yes,0.85
PT1.5-2_SL20_TS20@2_NoExitCross_KijunSL_Clamp85,666,47.00,4.23,1284.09,12.8409,112.08,8.46,23.26,0.5090,3.86,14.66,2.8845,Yes,0.85
PT2_SL20_TS20@2_NoExitCross_KijunSL_Clamp85,666,46.40,4.28,1282.08,12.8208,142.53,10.78,25.49,0.4638,3.89,14.88,2.6670,Yes,0.85
PT2-3_SL25_TS20@2_NoExitCross_KijunSL_Clamp85,666,46.55,4.26,1273.34,12.7334,141.61,10.78,24.86,0.4720,3.86,14.92,2.7186,Yes,0.85
PT2-3_SL20_TS20@2_NoExitCross_KijunSL_Clamp85,666,46.40,4.22,1241.00,12.4100,138.02,10.78,24.87,0.4588,3.89,14.88,2.6929,Yes,0.85
PT2-3_SL25_TS15@1.5_ExitCross_KijunSL_Clamp85,666,43.69,4.20,1240.66,12.4066,133.66,10.12,25.56,0.4463,4.17,14.09,2.6113,Yes,0.85
PT1.5-2_SL15_TS20@2_NoExitCross_KijunSL_NoClamp,666,46.85,4.14,1212.85,12.1285,106.54,8.52,23.29,0.4778,3.92,14.57,2.8226,No,0.8
PT1.5-2_SL15_TS20@2_NoExitCross_KijunSL_Clamp80,666,46.85,4.14,1212.85,12.1285,106.54,8.52,23.29,0.4778,3.92,14.57,2.8226,Yes,0.8
PT1.5-2_SL15_TS20@2_NoExitCross_KijunSL_Clamp85,666,46.85,4.14,1212.85,12.1285,106.54,8.52,23.29,0.4778,3.92,14.57,2.8226,Yes,0.85
PT2_SL15_TS20@2_NoExitCross_KijunSL_NoClamp,666,46.25,4.20,1210.94,12.1094,142.59,11.42,25.51,0.4354,3.94,14.79,2.6111,No,0.8
PT2_SL15_TS20@2_NoExitCross_KijunSL_Clamp80,666,46.25,4.20,1210.94,12.1094,142.59,11.42,25.51,0.4354,3.94,14.79,2.6111,Yes,0.8
PT2_SL15_TS20@2_NoExitCross_KijunSL_Clamp85,666,46.25,4.20,1210.94,12.1094,142.59,11.42,25.51,0.4354,3.94,14.79,2.6111,Yes,0.85
PT2_SL20_TS15@1.5_ExitCross_KijunSL_Clamp85,666,43.54,4.19,1209.01,12.0901,130.04,10.11,26.36,0.4207,4.19,14.05,2.5219,Yes,0.85
PT1.5_SL25_TS20@2_NoExitCross_KijunSL_Clamp80,666,47.15,4.13,1187.77,11.8777,107.56,8.77,24.23,0.4490,4.21,14.68,2.7046,Yes,0.8
PT2-3_SL15_TS20@2_NoExitCross_KijunSL_NoClamp,666,46.25,4.13,1172.15,11.7215,138.07,11.42,24.90,0.4306,3.94,14.79,2.6355,No,0.8
PT2-3_SL15_TS20@2_NoExitCross_KijunSL_Clamp80,666,46.25,4.13,1172.15,11.7215,138.07,11.42,24.90,0.4306,3.94,14.79,2.6355,Yes,0.8
PT2-3_SL15_TS20@2_NoExitCross_KijunSL_Clamp85,666,46.25,4.13,1172.15,11.7215,138.07,11.42,24.90,0.4306,3.94,14.79,2.6355,Yes,0.85
PT2-3_SL20_TS15@1.5_ExitCross_KijunSL_Clamp85,666,43.54,4.09,1145.95,11.4595,123.46,10.12,25.46,0.4108,4.19,14.05,2.5470,Yes,0.85
PT2_SL15_TS15@1.5_ExitCross_KijunSL_NoClamp,666,43.39,4.10,1141.43,11.4143,123.57,10.11,26.39,0.3947,4.25,13.97,2.4681,No,0.8
PT2_SL15_TS15@1.5_ExitCross_KijunSL_Clamp80,666,43.39,4.10,1141.43,11.4143,123.57,10.11,26.39,0.3947,4.25,13.97,2.4681,Yes,0.8
PT2_SL15_TS15@1.5_ExitCross_KijunSL_Clamp85,666,43.39,4.10,1141.43,11.4143,123.57,10.11,26.39,0.3947,4.25,13.97,2.4681,Yes,0.85
PT1.5_SL20_TS20@2_NoExitCross_KijunSL_NoClamp,666,47.00,4.05,1125.87,11.2587,101.96,8.77,24.23,0.4235,4.25,14.63,2.6519,No,0.8
PT1.5_SL20_TS20@2_NoExitCross_KijunSL_Clamp80,666,47.00,4.05,1125.87,11.2587,101.96,8.77,24.23,0.4235,4.25,14.63,2.6519,Yes,0.8
PT1.5_SL25_TS15@1.5_ExitCross_KijunSL_Clamp85,666,43.69,4.00,1109.24,11.0924,117.68,9.97,24.64,0.4097,4.17,14.09,2.5761,Yes,0.85
PT2-3_SL15_TS15@1.5_ExitCross_KijunSL_NoClamp,666,43.39,4.00,1081.90,10.8190,117.31,10.12,25.49,0.3852,4.25,13.97,2.4912,No,0.8
PT2-3_SL15_TS15@1.5_ExitCross_KijunSL_Clamp80,666,43.39,4.00,1081.90,10.8190,117.31,10.12,25.49,0.3852,4.25,13.97,2.4912,Yes,0.8
PT2-3_SL15_TS15@1.5_ExitCross_KijunSL_Clamp85,666,43.39,4.00,1081.90,10.8190,117.31,10.12,25.49,0.3852,4.25,13.97,2.4912,Yes,0.85
