Strategy,TotalTrades,WinRate,AvgPnlPerTrade,FinalPortfolio,CompoundFactor,MaxDrawdown,MaxDrawdownPct,StdDevReturns,RiskAdjustedScore,AvgPerTradeMaxDrawdown,AvgRiskRatio,SharpeRatio,LossClampEnabled,MinPnlFloor
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp80,70,54.29,14.74,245.14,2.4514,15.57,6.00,52.12,0.0278,3.47,1.13,4.4905,Yes,0.8
PT2-3_SL20_TS10@1.3_NoExitCross_KijunSL_NoClamp,70,54.29,14.74,245.14,2.4514,15.57,6.00,52.12,0.0278,3.47,1.13,4.4905,No,0.8
PT2-3_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp80,70,54.29,14.74,245.14,2.4514,15.57,6.00,52.12,0.0278,3.47,1.13,4.4905,Yes,0.8
PT2-3_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp80,70,54.29,14.74,245.14,2.4514,15.57,6.00,52.12,0.0278,3.47,1.13,4.4905,Yes,0.8
PT1.5-2_SL15_TS10@1.3_NoExitCross_KijunSL_NoClamp,70,54.29,14.65,245.14,2.4514,14.96,5.82,51.22,0.0283,3.14,1.14,4.5395,No,0.8
PT1.5-2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp80,70,54.29,14.65,245.14,2.4514,14.96,5.82,51.22,0.0283,3.14,1.14,4.5395,Yes,0.8
PT1.5-2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,70,54.29,14.65,245.14,2.4514,14.96,5.82,51.22,0.0283,3.14,1.14,4.5395,Yes,0.85
PT1.5-2_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp85,70,54.29,14.65,245.14,2.4514,14.96,5.82,51.22,0.0283,3.14,1.14,4.5395,Yes,0.85
PT1.5-2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,70,54.29,14.65,245.14,2.4514,14.96,5.82,51.22,0.0283,3.14,1.14,4.5395,Yes,0.85
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_NoClamp,70,54.29,14.59,242.76,2.4276,15.62,6.04,52.23,0.0273,3.62,1.13,4.4360,No,0.8
PT2-3_SL25_TS10@1.3_NoExitCross_KijunSL_NoClamp,70,54.29,14.59,242.76,2.4276,15.62,6.04,52.23,0.0273,3.62,1.13,4.4360,No,0.8
PT1.5_SL15_TS10@1.3_NoExitCross_KijunSL_NoClamp,70,54.29,14.42,241.99,2.4199,14.75,5.82,50.93,0.0279,3.14,1.14,4.4947,No,0.8
PT1.5_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp80,70,54.29,14.42,241.99,2.4199,14.75,5.82,50.93,0.0279,3.14,1.14,4.4947,Yes,0.8
PT1.5_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,70,54.29,14.42,241.99,2.4199,14.75,5.82,50.93,0.0279,3.14,1.14,4.4947,Yes,0.85
PT1.5_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp85,70,54.29,14.42,241.99,2.4199,14.75,5.82,50.93,0.0279,3.14,1.14,4.4947,Yes,0.85
PT1.5_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,70,54.29,14.42,241.99,2.4199,14.75,5.82,50.93,0.0279,3.14,1.14,4.4947,Yes,0.85
PT1.5-2_SL20_TS10@1.3_NoExitCross_KijunSL_NoClamp,70,54.29,14.32,239.71,2.3971,15.18,6.00,51.43,0.0272,3.47,1.13,4.4188,No,0.8
PT1.5-2_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp80,70,54.29,14.32,239.71,2.3971,15.18,6.00,51.43,0.0272,3.47,1.13,4.4188,Yes,0.8
PT1.5-2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp80,70,54.29,14.32,239.71,2.3971,15.18,6.00,51.43,0.0272,3.47,1.13,4.4188,Yes,0.8
PT1.5-2_SL25_TS10@1.3_NoExitCross_KijunSL_NoClamp,70,54.29,14.17,237.39,2.3739,15.11,6.00,51.54,0.0267,3.62,1.13,4.3637,No,0.8
PT1.5_SL20_TS10@1.3_NoExitCross_KijunSL_NoClamp,70,54.29,14.09,236.64,2.3664,14.97,6.00,51.14,0.0267,3.47,1.13,4.3735,No,0.8
PT1.5_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp80,70,54.29,14.09,236.64,2.3664,14.97,6.00,51.14,0.0267,3.47,1.13,4.3735,Yes,0.8
PT1.5_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp80,70,54.29,14.09,236.64,2.3664,14.97,6.00,51.14,0.0267,3.47,1.13,4.3735,Yes,0.8
PT1.5_SL25_TS10@1.3_NoExitCross_KijunSL_NoClamp,70,54.29,13.94,234.34,2.3434,14.90,6.00,51.24,0.0262,3.62,1.13,4.3181,No,0.8
PT2_SL15_TS10@1.3_ExitCross_KijunSL_NoClamp,70,50.00,13.57,228.95,2.2895,14.03,5.83,51.74,0.0249,3.28,1.13,4.1630,No,0.8
PT2_SL15_TS10@1.3_ExitCross_KijunSL_Clamp80,70,50.00,13.57,228.95,2.2895,14.03,5.83,51.74,0.0249,3.28,1.13,4.1630,Yes,0.8
PT2_SL15_TS10@1.3_ExitCross_KijunSL_Clamp85,70,50.00,13.57,228.95,2.2895,14.03,5.83,51.74,0.0249,3.28,1.13,4.1630,Yes,0.85
PT2_SL20_TS10@1.3_ExitCross_KijunSL_Clamp85,70,50.00,13.57,228.95,2.2895,14.03,5.83,51.74,0.0249,3.28,1.13,4.1630,Yes,0.85
PT2_SL25_TS10@1.3_ExitCross_KijunSL_Clamp85,70,50.00,13.57,228.95,2.2895,14.03,5.83,51.74,0.0249,3.28,1.13,4.1630,Yes,0.85
PT2-3_SL15_TS10@1.3_ExitCross_KijunSL_NoClamp,70,50.00,13.57,228.95,2.2895,14.03,5.83,51.74,0.0249,3.28,1.13,4.1630,No,0.8
PT2-3_SL15_TS10@1.3_ExitCross_KijunSL_Clamp80,70,50.00,13.57,228.95,2.2895,14.03,5.83,51.74,0.0249,3.28,1.13,4.1630,Yes,0.8
PT2-3_SL15_TS10@1.3_ExitCross_KijunSL_Clamp85,70,50.00,13.57,228.95,2.2895,14.03,5.83,51.74,0.0249,3.28,1.13,4.1630,Yes,0.85
PT2-3_SL20_TS10@1.3_ExitCross_KijunSL_Clamp85,70,50.00,13.57,228.95,2.2895,14.03,5.83,51.74,0.0249,3.28,1.13,4.1630,Yes,0.85
PT2-3_SL25_TS10@1.3_ExitCross_KijunSL_Clamp85,70,50.00,13.57,228.95,2.2895,14.03,5.83,51.74,0.0249,3.28,1.13,4.1630,Yes,0.85
PT2_SL20_TS10@1.3_ExitCross_KijunSL_NoClamp,70,50.00,13.24,223.88,2.2388,14.23,6.00,51.94,0.0239,3.61,1.12,4.0456,No,0.8
PT2_SL20_TS10@1.3_ExitCross_KijunSL_Clamp80,70,50.00,13.24,223.88,2.2388,14.23,6.00,51.94,0.0239,3.61,1.12,4.0456,Yes,0.8
PT2_SL25_TS10@1.3_ExitCross_KijunSL_Clamp80,70,50.00,13.24,223.88,2.2388,14.23,6.00,51.94,0.0239,3.61,1.12,4.0456,Yes,0.8
PT2-3_SL20_TS10@1.3_ExitCross_KijunSL_NoClamp,70,50.00,13.24,223.88,2.2388,14.23,6.00,51.94,0.0239,3.61,1.12,4.0456,No,0.8
PT2-3_SL20_TS10@1.3_ExitCross_KijunSL_Clamp80,70,50.00,13.24,223.88,2.2388,14.23,6.00,51.94,0.0239,3.61,1.12,4.0456,Yes,0.8
PT2-3_SL25_TS10@1.3_ExitCross_KijunSL_Clamp80,70,50.00,13.24,223.88,2.2388,14.23,6.00,51.94,0.0239,3.61,1.12,4.0456,Yes,0.8
PT1.5-2_SL15_TS10@1.3_ExitCross_KijunSL_NoClamp,70,50.00,13.14,223.75,2.2375,13.67,5.83,51.04,0.0242,3.28,1.13,4.0875,No,0.8
PT1.5-2_SL15_TS10@1.3_ExitCross_KijunSL_Clamp80,70,50.00,13.14,223.75,2.2375,13.67,5.83,51.04,0.0242,3.28,1.13,4.0875,Yes,0.8
PT1.5-2_SL15_TS10@1.3_ExitCross_KijunSL_Clamp85,70,50.00,13.14,223.75,2.2375,13.67,5.83,51.04,0.0242,3.28,1.13,4.0875,Yes,0.85
PT1.5-2_SL20_TS10@1.3_ExitCross_KijunSL_Clamp85,70,50.00,13.14,223.75,2.2375,13.67,5.83,51.04,0.0242,3.28,1.13,4.0875,Yes,0.85
PT1.5-2_SL25_TS10@1.3_ExitCross_KijunSL_Clamp85,70,50.00,13.14,223.75,2.2375,13.67,5.83,51.04,0.0242,3.28,1.13,4.0875,Yes,0.85
PT2_SL25_TS10@1.3_ExitCross_KijunSL_NoClamp,70,50.00,13.09,221.69,2.2169,14.28,6.05,52.04,0.0234,3.76,1.12,3.9921,No,0.8
PT2-3_SL25_TS10@1.3_ExitCross_KijunSL_NoClamp,70,50.00,13.09,221.69,2.2169,14.28,6.05,52.04,0.0234,3.76,1.12,3.9921,No,0.8
PT2_SL15_TS15@1.5_NoExitCross_KijunSL_NoClamp,70,52.86,13.08,221.52,2.2152,13.67,5.82,51.58,0.0236,3.14,6.61,4.0250,No,0.8
PT2_SL15_TS15@1.5_NoExitCross_KijunSL_Clamp80,70,52.86,13.08,221.52,2.2152,13.67,5.82,51.58,0.0236,3.14,6.61,4.0250,Yes,0.8
PT2_SL15_TS15@1.5_NoExitCross_KijunSL_Clamp85,70,52.86,13.08,221.52,2.2152,13.67,5.82,51.58,0.0236,3.14,6.61,4.0250,Yes,0.85
PT2_SL20_TS15@1.5_NoExitCross_KijunSL_Clamp85,70,52.86,13.08,221.52,2.2152,13.67,5.82,51.58,0.0236,3.14,6.61,4.0250,Yes,0.85
PT2_SL25_TS15@1.5_NoExitCross_KijunSL_Clamp85,70,52.86,13.08,221.52,2.2152,13.67,5.82,51.58,0.0236,3.14,6.61,4.0250,Yes,0.85
PT2-3_SL15_TS15@1.5_NoExitCross_KijunSL_NoClamp,70,52.86,13.08,221.52,2.2152,13.67,5.82,51.58,0.0236,3.14,6.61,4.0250,No,0.8
PT2-3_SL15_TS15@1.5_NoExitCross_KijunSL_Clamp80,70,52.86,13.08,221.52,2.2152,13.67,5.82,51.58,0.0236,3.14,6.61,4.0250,Yes,0.8
PT2-3_SL15_TS15@1.5_NoExitCross_KijunSL_Clamp85,70,52.86,13.08,221.52,2.2152,13.67,5.82,51.58,0.0236,3.14,6.61,4.0250,Yes,0.85
PT2-3_SL20_TS15@1.5_NoExitCross_KijunSL_Clamp85,70,52.86,13.08,221.52,2.2152,13.67,5.82,51.58,0.0236,3.14,6.61,4.0250,Yes,0.85
PT2-3_SL25_TS15@1.5_NoExitCross_KijunSL_Clamp85,70,52.86,13.08,221.52,2.2152,13.67,5.82,51.58,0.0236,3.14,6.61,4.0250,Yes,0.85
PT1.5_SL15_TS10@1.3_ExitCross_KijunSL_NoClamp,70,50.00,12.91,220.79,2.2079,13.47,5.83,50.73,0.0238,3.28,1.13,4.0405,No,0.8
PT1.5_SL15_TS10@1.3_ExitCross_KijunSL_Clamp80,70,50.00,12.91,220.79,2.2079,13.47,5.83,50.73,0.0238,3.28,1.13,4.0405,Yes,0.8
PT1.5_SL15_TS10@1.3_ExitCross_KijunSL_Clamp85,70,50.00,12.91,220.79,2.2079,13.47,5.83,50.73,0.0238,3.28,1.13,4.0405,Yes,0.85
PT1.5_SL20_TS10@1.3_ExitCross_KijunSL_Clamp85,70,50.00,12.91,220.79,2.2079,13.47,5.83,50.73,0.0238,3.28,1.13,4.0405,Yes,0.85
PT1.5_SL25_TS10@1.3_ExitCross_KijunSL_Clamp85,70,50.00,12.91,220.79,2.2079,13.47,5.83,50.73,0.0238,3.28,1.13,4.0405,Yes,0.85
PT1.5-2_SL20_TS10@1.3_ExitCross_KijunSL_NoClamp,70,50.00,12.81,218.79,2.1879,13.87,6.00,51.23,0.0232,3.61,1.12,3.9688,No,0.8
PT1.5-2_SL20_TS10@1.3_ExitCross_KijunSL_Clamp80,70,50.00,12.81,218.79,2.1879,13.87,6.00,51.23,0.0232,3.61,1.12,3.9688,Yes,0.8
PT1.5-2_SL25_TS10@1.3_ExitCross_KijunSL_Clamp80,70,50.00,12.81,218.79,2.1879,13.87,6.00,51.23,0.0232,3.61,1.12,3.9688,Yes,0.8
PT1.5-2_SL15_TS15@1.5_NoExitCross_KijunSL_NoClamp,70,52.86,12.74,217.71,2.1771,13.36,5.82,51.00,0.0231,3.14,6.61,3.9650,No,0.8
PT1.5-2_SL15_TS15@1.5_NoExitCross_KijunSL_Clamp80,70,52.86,12.74,217.71,2.1771,13.36,5.82,51.00,0.0231,3.14,6.61,3.9650,Yes,0.8
PT1.5-2_SL15_TS15@1.5_NoExitCross_KijunSL_Clamp85,70,52.86,12.74,217.71,2.1771,13.36,5.82,51.00,0.0231,3.14,6.61,3.9650,Yes,0.85
PT1.5-2_SL20_TS15@1.5_NoExitCross_KijunSL_Clamp85,70,52.86,12.74,217.71,2.1771,13.36,5.82,51.00,0.0231,3.14,6.61,3.9650,Yes,0.85
PT1.5-2_SL25_TS15@1.5_NoExitCross_KijunSL_Clamp85,70,52.86,12.74,217.71,2.1771,13.36,5.82,51.00,0.0231,3.14,6.61,3.9650,Yes,0.85
PT1.5-2_SL25_TS10@1.3_ExitCross_KijunSL_NoClamp,70,50.00,12.66,216.66,2.1666,13.80,6.00,51.34,0.0227,3.76,1.12,3.9147,No,0.8
PT2_SL20_TS15@1.5_NoExitCross_KijunSL_NoClamp,70,52.86,12.75,216.53,2.1653,14.59,6.31,51.78,0.0225,3.48,6.60,3.9080,No,0.8
PT2_SL20_TS15@1.5_NoExitCross_KijunSL_Clamp80,70,52.86,12.75,216.53,2.1653,14.59,6.31,51.78,0.0225,3.48,6.60,3.9080,Yes,0.8
PT2_SL25_TS15@1.5_NoExitCross_KijunSL_Clamp80,70,52.86,12.75,216.53,2.1653,14.59,6.31,51.78,0.0225,3.48,6.60,3.9080,Yes,0.8
PT2-3_SL20_TS15@1.5_NoExitCross_KijunSL_NoClamp,70,52.86,12.75,216.53,2.1653,14.59,6.31,51.78,0.0225,3.48,6.60,3.9080,No,0.8
PT2-3_SL20_TS15@1.5_NoExitCross_KijunSL_Clamp80,70,52.86,12.75,216.53,2.1653,14.59,6.31,51.78,0.0225,3.48,6.60,3.9080,Yes,0.8
PT2-3_SL25_TS15@1.5_NoExitCross_KijunSL_Clamp80,70,52.86,12.75,216.53,2.1653,14.59,6.31,51.78,0.0225,3.48,6.60,3.9080,Yes,0.8
PT1.5_SL20_TS10@1.3_ExitCross_KijunSL_NoClamp,70,50.00,12.58,215.89,2.1589,13.67,6.00,50.93,0.0228,3.61,1.12,3.9213,No,0.8
PT1.5_SL20_TS10@1.3_ExitCross_KijunSL_Clamp80,70,50.00,12.58,215.89,2.1589,13.67,6.00,50.93,0.0228,3.61,1.12,3.9213,Yes,0.8
PT1.5_SL25_TS10@1.3_ExitCross_KijunSL_Clamp80,70,50.00,12.58,215.89,2.1589,13.67,6.00,50.93,0.0228,3.61,1.12,3.9213,Yes,0.8
PT1.5_SL15_TS15@1.5_NoExitCross_KijunSL_NoClamp,70,52.86,12.48,214.57,2.1457,13.13,5.82,50.67,0.0226,3.14,6.61,3.9100,No,0.8
PT1.5_SL15_TS15@1.5_NoExitCross_KijunSL_Clamp80,70,52.86,12.48,214.57,2.1457,13.13,5.82,50.67,0.0226,3.14,6.61,3.9100,Yes,0.8
PT1.5_SL15_TS15@1.5_NoExitCross_KijunSL_Clamp85,70,52.86,12.48,214.57,2.1457,13.13,5.82,50.67,0.0226,3.14,6.61,3.9100,Yes,0.85
PT1.5_SL20_TS15@1.5_NoExitCross_KijunSL_Clamp85,70,52.86,12.48,214.57,2.1457,13.13,5.82,50.67,0.0226,3.14,6.61,3.9100,Yes,0.85
PT1.5_SL25_TS15@1.5_NoExitCross_KijunSL_Clamp85,70,52.86,12.48,214.57,2.1457,13.13,5.82,50.67,0.0226,3.14,6.61,3.9100,Yes,0.85
PT2_SL25_TS15@1.5_NoExitCross_KijunSL_NoClamp,70,52.86,12.60,214.40,2.1440,15.62,6.79,51.88,0.0221,3.63,6.60,3.8547,No,0.8
PT2-3_SL25_TS15@1.5_NoExitCross_KijunSL_NoClamp,70,52.86,12.60,214.40,2.1440,15.62,6.79,51.88,0.0221,3.63,6.60,3.8547,No,0.8
PT1.5_SL25_TS10@1.3_ExitCross_KijunSL_NoClamp,70,50.00,12.43,213.78,2.1378,13.60,6.00,51.03,0.0223,3.76,1.12,3.8670,No,0.8
PT1.5-2_SL20_TS15@1.5_NoExitCross_KijunSL_NoClamp,70,52.86,12.41,212.81,2.1281,13.55,6.00,51.20,0.0220,3.48,6.60,3.8469,No,0.8
PT1.5-2_SL20_TS15@1.5_NoExitCross_KijunSL_Clamp80,70,52.86,12.41,212.81,2.1281,13.55,6.00,51.20,0.0220,3.48,6.60,3.8469,Yes,0.8
PT1.5-2_SL25_TS15@1.5_NoExitCross_KijunSL_Clamp80,70,52.86,12.41,212.81,2.1281,13.55,6.00,51.20,0.0220,3.48,6.60,3.8469,Yes,0.8
PT1.5-2_SL25_TS15@1.5_NoExitCross_KijunSL_NoClamp,70,52.86,12.26,210.72,2.1072,14.14,6.29,51.30,0.0216,3.63,6.60,3.7931,No,0.8
PT2_SL15_TS20@2_NoExitCross_KijunSL_NoClamp,70,51.43,12.33,210.48,2.1048,22.30,9.58,51.33,0.0215,3.25,6.65,3.8142,No,0.8
PT2_SL15_TS20@2_NoExitCross_KijunSL_Clamp80,70,51.43,12.33,210.48,2.1048,22.30,9.58,51.33,0.0215,3.25,6.65,3.8142,Yes,0.8
PT2_SL15_TS20@2_NoExitCross_KijunSL_Clamp85,70,51.43,12.33,210.48,2.1048,22.30,9.58,51.33,0.0215,3.25,6.65,3.8142,Yes,0.85
PT2_SL20_TS20@2_NoExitCross_KijunSL_Clamp85,70,51.43,12.33,210.48,2.1048,22.30,9.58,51.33,0.0215,3.25,6.65,3.8142,Yes,0.85
PT2_SL25_TS20@2_NoExitCross_KijunSL_Clamp85,70,51.43,12.33,210.48,2.1048,22.30,9.58,51.33,0.0215,3.25,6.65,3.8142,Yes,0.85
PT2-3_SL15_TS20@2_NoExitCross_KijunSL_NoClamp,70,51.43,12.33,210.48,2.1048,22.30,9.58,51.33,0.0215,3.25,6.65,3.8142,No,0.8
PT2-3_SL15_TS20@2_NoExitCross_KijunSL_Clamp80,70,51.43,12.33,210.48,2.1048,22.30,9.58,51.33,0.0215,3.25,6.65,3.8142,Yes,0.8
PT2-3_SL15_TS20@2_NoExitCross_KijunSL_Clamp85,70,51.43,12.33,210.48,2.1048,22.30,9.58,51.33,0.0215,3.25,6.65,3.8142,Yes,0.85
PT2-3_SL20_TS20@2_NoExitCross_KijunSL_Clamp85,70,51.43,12.33,210.48,2.1048,22.30,9.58,51.33,0.0215,3.25,6.65,3.8142,Yes,0.85
PT2-3_SL25_TS20@2_NoExitCross_KijunSL_Clamp85,70,51.43,12.33,210.48,2.1048,22.30,9.58,51.33,0.0215,3.25,6.65,3.8142,Yes,0.85
PT1.5-2_SL15_TS20@2_NoExitCross_KijunSL_NoClamp,70,52.86,12.24,210.42,2.1042,17.75,7.78,50.76,0.0218,3.14,6.61,3.8271,No,0.8
PT1.5-2_SL15_TS20@2_NoExitCross_KijunSL_Clamp80,70,52.86,12.24,210.42,2.1042,17.75,7.78,50.76,0.0218,3.14,6.61,3.8271,Yes,0.8
PT1.5-2_SL15_TS20@2_NoExitCross_KijunSL_Clamp85,70,52.86,12.24,210.42,2.1042,17.75,7.78,50.76,0.0218,3.14,6.61,3.8271,Yes,0.85
PT1.5-2_SL20_TS20@2_NoExitCross_KijunSL_Clamp85,70,52.86,12.24,210.42,2.1042,17.75,7.78,50.76,0.0218,3.14,6.61,3.8271,Yes,0.85
PT1.5-2_SL25_TS20@2_NoExitCross_KijunSL_Clamp85,70,52.86,12.24,210.42,2.1042,17.75,7.78,50.76,0.0218,3.14,6.61,3.8271,Yes,0.85
PT1.5_SL20_TS15@1.5_NoExitCross_KijunSL_NoClamp,70,52.86,12.15,209.75,2.0975,13.32,6.00,50.86,0.0216,3.48,6.60,3.7913,No,0.8
PT1.5_SL20_TS15@1.5_NoExitCross_KijunSL_Clamp80,70,52.86,12.15,209.75,2.0975,13.32,6.00,50.86,0.0216,3.48,6.60,3.7913,Yes,0.8
PT1.5_SL25_TS15@1.5_NoExitCross_KijunSL_Clamp80,70,52.86,12.15,209.75,2.0975,13.32,6.00,50.86,0.0216,3.48,6.60,3.7913,Yes,0.8
PT1.5_SL15_TS20@2_NoExitCross_KijunSL_NoClamp,70,52.86,12.03,208.30,2.0830,15.32,6.85,50.38,0.0215,3.14,6.61,3.7899,No,0.8
PT1.5_SL15_TS20@2_NoExitCross_KijunSL_Clamp80,70,52.86,12.03,208.30,2.0830,15.32,6.85,50.38,0.0215,3.14,6.61,3.7899,Yes,0.8
PT1.5_SL15_TS20@2_NoExitCross_KijunSL_Clamp85,70,52.86,12.03,208.30,2.0830,15.32,6.85,50.38,0.0215,3.14,6.61,3.7899,Yes,0.85
PT1.5_SL20_TS20@2_NoExitCross_KijunSL_Clamp85,70,52.86,12.03,208.30,2.0830,15.32,6.85,50.38,0.0215,3.14,6.61,3.7899,Yes,0.85
PT1.5_SL25_TS20@2_NoExitCross_KijunSL_Clamp85,70,52.86,12.03,208.30,2.0830,15.32,6.85,50.38,0.0215,3.14,6.61,3.7899,Yes,0.85
PT1.5_SL25_TS15@1.5_NoExitCross_KijunSL_NoClamp,70,52.86,12.00,207.68,2.0768,13.32,6.03,50.96,0.0211,3.63,6.60,3.7373,No,0.8
PT2_SL20_TS20@2_NoExitCross_KijunSL_NoClamp,70,51.43,12.00,205.69,2.0569,23.43,10.23,51.52,0.0205,3.58,6.64,3.6977,No,0.8
PT2_SL20_TS20@2_NoExitCross_KijunSL_Clamp80,70,51.43,12.00,205.69,2.0569,23.43,10.23,51.52,0.0205,3.58,6.64,3.6977,Yes,0.8
PT2_SL25_TS20@2_NoExitCross_KijunSL_Clamp80,70,51.43,12.00,205.69,2.0569,23.43,10.23,51.52,0.0205,3.58,6.64,3.6977,Yes,0.8
PT2-3_SL20_TS20@2_NoExitCross_KijunSL_NoClamp,70,51.43,12.00,205.69,2.0569,23.43,10.23,51.52,0.0205,3.58,6.64,3.6977,No,0.8
PT2-3_SL20_TS20@2_NoExitCross_KijunSL_Clamp80,70,51.43,12.00,205.69,2.0569,23.43,10.23,51.52,0.0205,3.58,6.64,3.6977,Yes,0.8
PT2-3_SL25_TS20@2_NoExitCross_KijunSL_Clamp80,70,51.43,12.00,205.69,2.0569,23.43,10.23,51.52,0.0205,3.58,6.64,3.6977,Yes,0.8
PT1.5-2_SL20_TS20@2_NoExitCross_KijunSL_NoClamp,70,52.86,11.91,205.66,2.0566,18.93,8.43,50.95,0.0207,3.48,6.60,3.7092,No,0.8
PT1.5-2_SL20_TS20@2_NoExitCross_KijunSL_Clamp80,70,52.86,11.91,205.66,2.0566,18.93,8.43,50.95,0.0207,3.48,6.60,3.7092,Yes,0.8
PT1.5-2_SL25_TS20@2_NoExitCross_KijunSL_Clamp80,70,52.86,11.91,205.66,2.0566,18.93,8.43,50.95,0.0207,3.48,6.60,3.7092,Yes,0.8
PT1.5-2_SL15_NoExitCross_KijunSL_NoClamp,70,52.86,11.77,204.92,2.0492,17.28,7.78,50.25,0.0209,3.14,6.61,3.7197,No,0.8
PT1.5-2_SL15_NoExitCross_KijunSL_Clamp80,70,52.86,11.77,204.92,2.0492,17.28,7.78,50.25,0.0209,3.14,6.61,3.7197,Yes,0.8
PT1.5-2_SL15_NoExitCross_KijunSL_Clamp85,70,52.86,11.77,204.92,2.0492,17.28,7.78,50.25,0.0209,3.14,6.61,3.7197,Yes,0.85
PT1.5-2_SL20_NoExitCross_KijunSL_Clamp85,70,52.86,11.77,204.92,2.0492,17.28,7.78,50.25,0.0209,3.14,6.61,3.7197,Yes,0.85
PT1.5-2_SL25_NoExitCross_KijunSL_Clamp85,70,52.86,11.77,204.92,2.0492,17.28,7.78,50.25,0.0209,3.14,6.61,3.7197,Yes,0.85
PT2_SL25_TS20@2_NoExitCross_KijunSL_NoClamp,70,51.43,11.85,203.63,2.0363,24.40,10.70,51.62,0.0201,3.73,6.64,3.6447,No,0.8
PT2-3_SL25_TS20@2_NoExitCross_KijunSL_NoClamp,70,51.43,11.85,203.63,2.0363,24.40,10.70,51.62,0.0201,3.73,6.64,3.6447,No,0.8
PT1.5-2_SL25_TS20@2_NoExitCross_KijunSL_NoClamp,70,52.86,11.76,203.61,2.0361,19.91,8.91,51.06,0.0203,3.63,6.60,3.6555,No,0.8
PT1.5_SL20_TS20@2_NoExitCross_KijunSL_NoClamp,70,52.86,11.70,203.59,2.0359,16.51,7.50,50.57,0.0205,3.48,6.60,3.6712,No,0.8
PT1.5_SL20_TS20@2_NoExitCross_KijunSL_Clamp80,70,52.86,11.70,203.59,2.0359,16.51,7.50,50.57,0.0205,3.48,6.60,3.6712,Yes,0.8
PT1.5_SL25_TS20@2_NoExitCross_KijunSL_Clamp80,70,52.86,11.70,203.59,2.0359,16.51,7.50,50.57,0.0205,3.48,6.60,3.6712,Yes,0.8
